URL,Fully equipped kitchen,Garden Area,Surface of the land,Number of facades,Locality,Terrace,Swimming pool,Subtype of property,Living Area,Open fire,Type of property,Furnished,Price,State of the building,Garden,Terrace Area,Surface area of the plot of land,Number of rooms
https://www.immoweb.be/en/classified/penthouse/for-sale/ixelles/1050/20067656,Hyper equipped,,,2,1050 Ixelles,,,Penthouse,,,Penthouse,No,525000,As new,,43,,2
https://www.immoweb.be/en/classified/penthouse/for-sale/evere/1140/20075339,Hyper equipped,,,3,1140 Evere,,,Penthouse,,,Penthouse,Yes,530000,As new,,42,,2
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11109704,Installed,,,2,1000 Bruxelles,,,Apartment,,,Apartment,No,595000,Good,,30,,2
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20188374,Hyper equipped,,,3,1180 Uccle,,,Apartment,,,Apartment,No,625000,Just renovated,,20,,3
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/11441791,Hyper equipped,,,2,1150 Woluwe-Saint-Pierre,,,Apartment,,,Apartment,No,849000,As new,,10,,4
https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1082/20267140,Installed,,,2,1082 BERCHEM-SAINTE-AGATHE,,,Apartment,,,Apartment,,295000,As new,,6,,2
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2610/20281141,Not installed,,,,2610 ANTWERPEN,,,Apartment,,,Apartment,,215000,Good,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2018/2018/20280125,Hyper equipped,,,,2018 Antwerpen (2018),,,Apartment,,,Apartment,Yes,575000,As new,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20265506,Hyper equipped,,,,1200 Woluwe-Saint-Lambert,,,Apartment,,,Apartment,No,790000,As new,,8,,3
https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/20294813,Installed,,,4,5000 NAMUR,,,Apartment,,,Apartment,,339000,,,8,,2
https://www.immoweb.be/en/classified/apartment/for-sale/gavere/9890/20293634,Hyper equipped,,,4,9890 Gavere,,,Apartment,,,Apartment,No,378650,As new,,11,,2
https://www.immoweb.be/en/classified/apartment/for-sale/eeklo/9900/20261847,Semi equipped,,,,9900 Eeklo,Yes,,Apartment,,,Apartment,,170000,To be done up,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/20262764,,,,,1083 GANSHOREN,,,Apartment,,,Apartment,,220000,,,7,,2
https://www.immoweb.be/en/classified/service-flat/for-sale/oostende/8400/20261513,,,,,8400 Oostende,Yes,,Service flat,,,Service flat,,425000,Good,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/20261481,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/11491919,Installed,,,,9800 Deinze,,,Apartment,,,Apartment,No,179000,Good,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20133165,Installed,,,2,1180 Uccle,,,Apartment,,,Apartment,No,295000,Good,,2,,1
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20276766,,,,,8300 Knokke,Yes,,Apartment,,,Apartment,No,1450000,As new,,,,3
