URL,Number of facades,Number of rooms,Terrace,Type of property,Swimming pool,Garden Area,Surface of the land,Locality,Living Area,Terrace Area,Fully equipped kitchen,State of the building,Furnished,Surface area of the plot of land,Garden,Open fire,Subtype of property,Price
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9000/20198442,,,,KEIZERPOORT_WONINGEN,,,,9000 Gent,,,,,,,,,KEIZERPOORT_WONINGEN,560000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9000/10749945,,,,KEIZERPOORT_WONINGEN,,,,9000 Gent,,,,,,,,,KEIZERPOORT_WONINGEN,560000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9000/10310822,,,,KEIZERPOORT_WONINGEN,,,,9000 Gent,,,,,,,,,KEIZERPOORT_WONINGEN,560000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9000/10215952,,,,KEIZERPOORT_WONINGEN,,,,9000 Gent,,,,,,,,,KEIZERPOORT_WONINGEN,560000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/brugge/8000/11197939,,,,,,,,8000 Brugge,,,,,,,,,,575000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/geraardsbergen/9500/20219280,,,,PROJECT KAAI,,,,9500 Geraardsbergen,,,,,,,,,PROJECT KAAI,From575000To599000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/zemst/1980/10085546,,,,,,,,1980 Zemst,,,,,,,,,,From577000To579000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/zonnebeke/8980/11471212,,,,,,,,,,,,,,,,,,From579000To599500
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/zaventem/1930/20032855,,,,"""Lavender Zaventem - Maisons""",,,,1930 Zaventem,,,,,,,,,"""Lavender Zaventem - Maisons""",From582800To699300
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/bruxelles/1120/20026301,,,,"""Neder-Wood""",,,,1120 Bruxelles,,,,,,,,,"""Neder-Wood""",From595000To775000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/antwerpen/2000/9400599,,,,Townhouses,,,,,,,,,,,,,Townhouses,From598000To640000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/eigenbrakel/1420/10808134,,,,,,,,1420 Eigenbrakel,,,,,,,,,,From609000To671800
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/brussel/1000/20026101,,,,Citywalk - Rouppeplein - EPC- A,,,,1000 Brussel,,,,,,,,,Citywalk - Rouppeplein - EPC- A,From615000To765000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/hombeek/2811/10752034,,,,Eglegem Sunset,,,,2811 Hombeek,,,,,,,,,Eglegem Sunset,622549
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/leuven/3000/10983766,,,,Stadswoning Hertogensite,,,,3000 Leuven,,,,,,,,,Stadswoning Hertogensite,From695000To697000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/haasrode/3053/20225073,,,,ElsenPOORT,,,,3053 Haasrode,,,,,,,,,ElsenPOORT,From716000To765000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/chaumont-gistoux/1325/20150231,,,,,,,,,,,,,,,,,,
