URL,Number of facades,Number of rooms,Terrace,Type of property,Swimming pool,Garden Area,Surface of the land,Locality,Living Area,Terrace Area,Fully equipped kitchen,State of the building,Furnished,Surface area of the plot of land,Garden,Open fire,Subtype of property,Price
https://www.immoweb.be/en/classified/exceptional-property/for-sale/messines/8957/20279778,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/mansion/for-sale/messines/8957/20279780,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/mons-obourgsaint-denis-obourg/7034/20307245,3,3,,House,,226,,"7034 Mons Obourg,Saint-Denis, Obourg",,,Installed,Good,No,,,,House,280000
https://www.immoweb.be/en/classified/house/for-sale/laarne/9270/20303266,4,3,,House,,433,,9270 Laarne,,,Installed,To be done up,No,,,,House,349000
https://www.immoweb.be/en/classified/house/for-sale/putte/2580/20305577,,3,Yes,House,,,,2580 Putte,,,Hyper equipped,,,,,,House,425000
https://www.immoweb.be/en/classified/house/for-sale/tournai/7500/20306430,2,3,,House,,100,,7500 Tournai,,20,Installed,Just renovated,,,,,House,450000
https://www.immoweb.be/en/classified/house/for-sale/etalle/6740/11437883,3,4,,House,,600,,6740 ETALLE,,30,Installed,Good,,,,,House,499000
https://www.immoweb.be/en/classified/villa/for-sale/nazareth/9810/20305968,4,4,,Villa,,656,,9810 Nazareth,,35,,As new,,,,,Villa,584000
https://www.immoweb.be/en/classified/exceptional-property/for-sale/waremme/4300/20266121,4,5,,Exceptional property,,750,,4300 Waremme,,60,Hyper equipped,As new,No,,,,Exceptional property,595000
https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/20306721,4,3,,House,,425,,8400 Oostende,,55,Installed,As new,,,,,House,795000
https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20308218,3,4,,House,,200,,,,20,Hyper equipped,As new,No,,,,House,1195000
https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/20289559,,3,,House,,55,,2660 HOBOKEN,,,,To be done up,,,,,House,275000
https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/20289558,,2,,House,,12,,2660 HOBOKEN,,,Installed,As new,,,,,House,275000
https://www.immoweb.be/en/classified/house/for-sale/gits/8830/20285815,,4,Yes,House,,,,8830 Gits,,,Installed,To renovate,,,,,House,285000
https://www.immoweb.be/en/classified/apartment-block/for-sale/wanze/4520/20288671,4,4,,Apartment block,,1733,,4520 WANZE,,40,Semi equipped,Good,,,,,Apartment block,289000
https://www.immoweb.be/en/classified/house/for-sale/izegem/8870/20289072,3,3,Yes,House,,30,,8870 Izegem,,,Installed,As new,,,,,House,299000
https://www.immoweb.be/en/classified/house/for-sale/niel/2845/20290029,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20290757,,3,,House,,,,9000 Gent,,,Installed,To renovate,,,,,House,359000
https://www.immoweb.be/en/classified/house/for-sale/middelkerke/8430/20290725,,4,,House,,,,8430 Middelkerke,,,,To renovate,,,,,House,369000
https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/20290259,4,3,,House,,760,,4420 SAINT-NICOLAS,,60,Semi equipped,Good,,,,,House,420000
https://www.immoweb.be/en/classified/house/for-sale/oeselgem/8720/20289581,4,3,,House,,,,8720 OESELGEM,,,Installed,Good,,,,,House,435000
https://www.immoweb.be/en/classified/house/for-sale/libramont-chevigny/6800/20288091,4,4,,House,,19,,6800 Libramont-Chevigny,,58,Hyper equipped,As new,No,,,,House,479000
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/20288946,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/geraardsbergen/9500/20288926,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/20288896,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/hooglede/8830/20285809,,4,Yes,House,,,,8830 Hooglede,,,Installed,Good,,,,,House,649000
https://www.immoweb.be/en/classified/exceptional-property/for-sale/bruxelles/1020/20289822,4,4,Yes,Exceptional property,,300,,1020 Bruxelles,,,Installed,To be done up,No,,,,Exceptional property,899000
https://www.immoweb.be/en/classified/villa/for-sale/hertsberge/8020/20290034,4,4,,Villa,,5500,,8020 Hertsberge,,,Hyper equipped,As new,No,,,,Villa,2695000
https://www.immoweb.be/en/classified/house/for-sale/vise/4600/20154684,2,4,,House,,68,,4600 Vis�,,18,Not installed,Good,,,,,House,295000
https://www.immoweb.be/en/classified/house/for-sale/wilrijk/2610/20270037,2,4,,House,,100,,2610 WILRIJK,,,Hyper equipped,Good,,,,,House,353000
https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/20269769,2,4,,House,,12,,2660 Hoboken,,25,,Good,,,,,House,359000
https://www.immoweb.be/en/classified/house/for-sale/stekene/9190/20268754,3,3,,House,,,,9190 STEKENE,,30,Installed,Good,,,,,House,529000
https://www.immoweb.be/en/classified/mansion/for-sale/oudenaarde/9700/20267630,2,5,,Mansion,,,,9700 Oudenaarde,,13,,As new,No,,,,Mansion,695000
https://www.immoweb.be/en/classified/town-house/for-sale/saint-ghislain/7330/20314502,2,3,,Town-house,,,,7330 Saint-Ghislain,,15,Installed,As new,No,,,,Town-house,180000
https://www.immoweb.be/en/classified/town-house/for-sale/saint-ghislain/7330/20314387,3,3,,Town-house,,,,7330 Saint-Ghislain,,18,Not installed,As new,No,,,,Town-house,250000
https://www.immoweb.be/en/classified/house/for-sale/knokke/8300/20310535,,3,Yes,House,,,,8300 Knokke,,,,,No,,,,House,1490000
https://www.immoweb.be/en/classified/house/for-sale/liege/4020/20112348,4,4,,House,,650,,4020 Li�ge,,,Not installed,To restore,No,,,,House,99000
https://www.immoweb.be/en/classified/house/for-sale/lauwe/8930/20315347,,5,Yes,House,,,,8930 Lauwe,,,,Good,,,,,House,220000
https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/20253598,2,4,Yes,House,,,,9660 Brakel,,,,Good,No,,,,House,317500
https://www.immoweb.be/en/classified/house/for-sale/oupeye/4680/20256394,4,5,,House,,735,,4680 Oupeye,,18,Not installed,To renovate,No,,,,House,319000
https://www.immoweb.be/en/classified/house/for-sale/chiny-jamoigne/6810/20257815,3,4,Yes,House,,222,,6810 Chiny (Jamoigne),,,Installed,As new,,,,,House,320000
https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/20316886,3,3,,House,,,,9200 Dendermonde,,,Semi equipped,To be done up,No,,,,House,365000
https://www.immoweb.be/en/classified/house/for-sale/habay-habay-la-neuve/6720/20257825,3,4,Yes,House,,354,,6720 Habay (Habay-la-Neuve),,,Installed,As new,,,,,House,420000
https://www.immoweb.be/en/classified/house/for-sale/rollegem/8510/20315558,,3,Yes,House,,,,8510 Rollegem,,,,Good,,,,,House,425000
https://www.immoweb.be/en/classified/villa/for-sale/arlon-bonnert/6700/20257841,4,3,Yes,Villa,,1564,,6700 Arlon (Bonnert),,,Semi equipped,As new,,,,,Villa,560000
https://www.immoweb.be/en/classified/house/for-sale/saint-gilles/1060/20314993,2,6,,House,,,,1060 Saint-Gilles,,20,,Good,No,,,,House,590000
https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-gilles/1060/20314994,2,6,,Apartment block,,,,1060 Saint-Gilles,,20,,Good,No,,,,Apartment block,590000
https://www.immoweb.be/en/classified/exceptional-property/for-sale/etalle-buzenol/6740/20257813,4,5,,Exceptional property,,2635,,6740 Etalle (Buzenol),,46,USA semi equipped,As new,,,,,Exceptional property,640000
https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20242604,2,3,,House,,100,,1150 Woluwe-Saint-Pierre,,12,Hyper equipped,Good,No,,,,House,650000
https://www.immoweb.be/en/classified/country-cottage/for-sale/yvoir/5530/20297722,,1,,Country house,,200,,5530 Yvoir,,20,,Just renovated,Yes,,,,Country house,120000
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/20298115,2,3,,House,,,,4400 FL�MALLE,,,Semi equipped,Good,,,,,House,165000
https://www.immoweb.be/en/classified/house/for-sale/helkijn/8587/20297152,,3,,House,,,,8587 Helkijn,,,,Just renovated,,,,,House,249000
https://www.immoweb.be/en/classified/house/for-sale/oostvleteren/8640/20298061,4,2,Yes,House,,,,8640 Oostvleteren,,,Installed,As new,No,,,,House,265000
https://www.immoweb.be/en/classified/house/for-sale/denderhoutem/9450/20298645,2,4,Yes,House,,930,,9450 Denderhoutem,,,Installed,To be done up,No,,,,House,270000
https://www.immoweb.be/en/classified/house/for-sale/langemark/8920/20298060,3,4,,House,,,,8920 Langemark,,20,Installed,Good,No,,,,House,285000
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20294689,2,2,Yes,House,,,,9000 Gent,,,Hyper equipped,As new,No,,,,House,299000
https://www.immoweb.be/en/classified/apartment-block/for-sale/baasrode/9200/20297397,2,,,Apartment block,,,,9200 Baasrode,,,,To be done up,,,,,Apartment block,350000
https://www.immoweb.be/en/classified/bungalow/for-sale/lokeren/9160/20298710,4,5,Yes,Bungalow,,965,,9160 Lokeren,,,Installed,To be done up,No,,,,Bungalow,435000
https://www.immoweb.be/en/classified/house/for-sale/sint-gillis-dendermonde/9200/20299596,,3,,House,,,,9200 Sint-Gillis-Dendermonde,,,Semi equipped,,No,,,,House,449000
https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/20297163,,4,Yes,House,,,,8500 Kortrijk,,,,Just renovated,No,,,,House,459000
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20297178,,3,,House,,,,9000 Gent,,36,,,,,,,House,545000
https://www.immoweb.be/en/classified/exceptional-property/for-sale/liege/4020/20297891,2,6,,Exceptional property,,150,,4020 Li�ge,,30,Installed,Good,No,,,,Exceptional property,675000
https://www.immoweb.be/en/classified/exceptional-property/for-sale/asse-kobbegem/1730/20297806,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/stekene/9190/20276973,3,3,,House,,286,,9190 STEKENE,,,Installed,As new,,,,,House,389000
https://www.immoweb.be/en/classified/house/for-sale/nevele-hansbeke/9850/20309084,2,3,,House,,88,,9850 Nevele Hansbeke,,,Hyper equipped,As new,No,,,,House,410000
https://www.immoweb.be/en/classified/villa/for-sale/nevele-hansbeke/9850/20309086,3,3,,Villa,,192,,9850 Nevele Hansbeke,,,Hyper equipped,As new,No,,,,Villa,430000
https://www.immoweb.be/en/classified/villa/for-sale/nevele-hansbeke/9850/20309075,3,3,,Villa,,180,,9850 Nevele Hansbeke,,,Hyper equipped,As new,No,,,,Villa,430000
https://www.immoweb.be/en/classified/villa/for-sale/nevele-hansbeke/9850/20309082,3,3,,Villa,,158,,9850 Nevele Hansbeke,,,Hyper equipped,As new,No,,,,Villa,435000
https://www.immoweb.be/en/classified/villa/for-sale/nevele-hansbeke/9850/20309081,3,3,,Villa,,158,,9850 Nevele Hansbeke,,,Hyper equipped,As new,No,,,,Villa,435000
https://www.immoweb.be/en/classified/villa/for-sale/nevele-hansbeke/9850/20309083,3,4,,Villa,,204,,9850 Nevele Hansbeke,,,Hyper equipped,As new,No,,,,Villa,440000
https://www.immoweb.be/en/classified/villa/for-sale/nevele-hansbeke/9850/20309080,3,3,,Villa,,237,,9850 Nevele Hansbeke,,,Hyper equipped,As new,No,,,,Villa,440000
https://www.immoweb.be/en/classified/house/for-sale/knokke-zoute/8300/20278336,3,4,Yes,House,,,,8300 Knokke-Zoute,,,Hyper equipped,Good,No,,,,House,1495000
https://www.immoweb.be/en/classified/house/for-sale/knokke-zoute/8300/20278340,4,6,Yes,House,,,,8300 Knokke-Zoute,,,Hyper equipped,Just renovated,No,,,,House,5695000
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/11206172,3,2,Yes,House,,183,,4100 Seraing,,,Semi equipped,To be done up,,,,,House,169000
https://www.immoweb.be/en/classified/bungalow/for-sale/diksmuide/8600/20192216,,3,Yes,Bungalow,,,,8600 Diksmuide,,,Installed,To renovate,No,,,,Bungalow,229000
https://www.immoweb.be/en/classified/mansion/for-sale/bruxelles/1000/20193767,2,20,,Mansion,,,,1000 Bruxelles,,1square meter,Hyper equipped,To renovate,,,,,Mansion,5000000
https://www.immoweb.be/en/classified/exceptional-property/for-sale/saint-josse-ten-noode/1210/20193782,2,20,,Exceptional property,,,,1210 Saint-Josse-ten-Noode,,1square meter,Hyper equipped,To renovate,,,,,Exceptional property,5000000
https://www.immoweb.be/en/classified/bungalow/for-sale/de-haan/8420/20292051,,3,Yes,Bungalow,,,,8420 De Haan,,,Installed,Good,Yes,,,,Bungalow,269000
https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/20175616,4,5,,House,,750,,1410 Waterloo,,27,Semi equipped,To renovate,No,,,,House,595000
https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/20109319,3,3,Yes,House,,,,9900 Eeklo,,,Installed,Good,,,,,House,289000
https://www.immoweb.be/en/classified/apartment-block/for-sale/sint-katelijne-waver/2860/20250577,2,1,,Apartment block,,,,2860 SINT-KATELIJNE-WAVER,,4,,Good,,,,,Apartment block,345000
https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/20191048,3,4,Yes,House,,420,,1970 Wezembeek-Oppem,,,Hyper equipped,Good,,,,,House,895000
https://www.immoweb.be/en/classified/house/for-sale/basecles/7971/20304431,3,2,,House,,,,7971 Bas�cles,,,Semi equipped,To renovate,No,,,,House,110000
https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/20304968,2,3,,House,,1square meter,,8800 Roeselare,,1square meter,Installed,Good,,,,,House,149000
https://www.immoweb.be/en/classified/villa/for-sale/ingelmunster/8770/20280785,,3,,Villa,,,,8770 Ingelmunster,,,Installed,To be done up,,,,,Villa,385000
https://www.immoweb.be/en/classified/house/for-sale/wichelen/9260/20266771,2,5,Yes,House,,,,9260 Wichelen,,,Hyper equipped,Good,,,,,House,389000
https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20207321,2,5,Yes,House,,,,1150 Woluwe-Saint-Pierre,,,Hyper equipped,As new,,,,,House,995000
https://www.immoweb.be/en/classified/house/for-sale/heist-op-den-berg/2220/20302801,,4,,House,,,,2220 Heist-op-den-Berg,,,Hyper equipped,,,,,,House,1095000
https://www.immoweb.be/en/classified/house/for-sale/lebbeke/9280/20210700,2,7,Yes,House,,2450,,9280 Lebbeke,,,,To renovate,No,,,,House,1400000
https://www.immoweb.be/en/classified/house/for-sale/juprelle/4450/20287396,2,1,,House,,,,4450 Juprelle,,,Installed,As new,No,,,,House,119000
https://www.immoweb.be/en/classified/house/for-sale/oostrozebeke/8780/20286806,,3,Yes,House,,,,8780 Oostrozebeke,,,Installed,To be done up,No,,,,House,249000
https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/20285520,,6,,House,,50,,8400 Oostende,,30,,Good,,,,,House,289000
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20285525,,2,,House,,31,,9000 Gent,,,,Good,,,,,House,429000
https://www.immoweb.be/en/classified/house/for-sale/oostakker/9041/20285515,,3,,House,,,,9041 Oostakker,,,,Just renovated,No,,,,House,449000
https://www.immoweb.be/en/classified/house/for-sale/ninove/9400/20284546,4,6,,House,,,,9400 Ninove,,,,Good,,,,,House,599000
https://www.immoweb.be/en/classified/house/for-sale/kapellen/2950/20287653,4,3,,House,,,,2950 KAPELLEN,,,Installed,Good,,,,,House,625000
https://www.immoweb.be/en/classified/house/for-sale/jupille/4020/20286382,4,6,,House,,729,,4020 Jupille,,121,Installed,Good,No,,,,House,665000
https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1702/20289716,3,3,,House,,500,,1702 Dilbeek,,19,Installed,As new,,,,,House,589000
https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/20270761,2,3,,House,,70,,2660 HOBOKEN,,20,USA installed,Good,,,,,House,334000
https://www.immoweb.be/en/classified/house/for-sale/lede/9340/20310319,3,3,,House,,108,,9340 Lede,,31,Hyper equipped,As new,No,,,,House,482500
https://www.immoweb.be/en/classified/house/for-sale/lede/9340/20310320,3,3,,House,,141,,9340 Lede,,31,Hyper equipped,As new,No,,,,House,489000
https://www.immoweb.be/en/classified/house/for-sale/lede/9340/20310312,3,3,,House,,205,,9340 Lede,,32,Hyper equipped,As new,No,,,,House,523000
https://www.immoweb.be/en/classified/house/for-sale/lede/9340/20310313,3,3,,House,,234,,9340 Lede,,32,Hyper equipped,As new,No,,,,House,524000
https://www.immoweb.be/en/classified/house/for-sale/lede/9340/20310304,3,3,,House,,254,,9340 Lede,,32,Hyper equipped,As new,No,,,,House,528500
https://www.immoweb.be/en/classified/house/for-sale/turnhout/2300/20313628,2,2,,House,,80,,2300 Turnhout,,20,Hyper equipped,Good,,,,,House,235000
https://www.immoweb.be/en/classified/mansion/for-sale/chatelet/6200/20313978,3,6,,Mansion,,180,,,,20,Semi equipped,Good,,,,,Mansion,235000
https://www.immoweb.be/en/classified/house/for-sale/dour/7370/20311718,3,4,,House,,1029,,7370 Dour,,30,,To be done up,,,,,House,295000
https://www.immoweb.be/en/classified/house/for-sale/harelbeke/8530/20312710,,3,Yes,House,,,,8530 Harelbeke,,,,Good,,,,,House,319000
https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20313329,2,5,Yes,House,,50,,9700 Oudenaarde,,,Installed,As new,No,,,,House,375000
https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/20312412,4,2,,House,,,,8300 Knokke-Heist,,,,As new,,,,,House,1235000
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/borgerhout/2140/20253578,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/huy/4500/20296386,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/meulebeke/8760/20296609,,4,Yes,House,,,,8760 Meulebeke,,,,Good,,,,,House,412900
https://www.immoweb.be/en/classified/house/for-sale/rumst/2840/20295487,4,5,,House,,195,,2840 Rumst,,,Hyper equipped,Just renovated,,,,,House,649000
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20297022,,,,House,,,,9000 Gent,,,Installed,Good,No,,,,House,1085000
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20296980,,,,House,,,,9000 Gent,,,Installed,Good,No,,,,House,1085000
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/nieuwrode/3221/11376676,,5,,Mixed-use building,,440,,3221 Nieuwrode,,,,To renovate,No,,,,Mixed-use building,275000
https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/20279070,2,4,Yes,House,,,,8500 Kortrijk,,,,To renovate,,,,,House,234000
https://www.immoweb.be/en/classified/house/for-sale/boom/2850/20279588,2,4,Yes,House,,,,2850 Boom,,,Installed,To be done up,,,,,House,339000
https://www.immoweb.be/en/classified/house/for-sale/melle/9090/20309337,,3,,House,,,,9090 Melle,,,Installed,To renovate,No,,,,House,369000
https://www.immoweb.be/en/classified/bungalow/for-sale/beernem/8730/20309347,4,3,Yes,Bungalow,,,,8730 Beernem,,,,To be done up,,,,,Bungalow,485000
https://www.immoweb.be/en/classified/house/for-sale/oostkamp/8020/20309489,4,4,Yes,House,,,,8020 Oostkamp,,,,As new,,,,,House,560000
https://www.immoweb.be/en/classified/house/for-sale/de-haan/8420/20292008,,4,,House,,,,8420 De Haan,,,,Good,,,,,House,645000
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/20265626,2,3,,House,,310,,4400 FL�MALLE,,40,USA installed,Just renovated,,,,,House,249000
https://www.immoweb.be/en/classified/town-house/for-sale/gent/9052/20265991,2,2,,Town-house,,157,,9052 GENT,,14,Semi equipped,To be done up,,,,,Town-house,299000
https://www.immoweb.be/en/classified/house/for-sale/tremelo/3120/20315307,3,4,,House,,170,,3120 Tremelo,,28,Not installed,As new,,,,,House,499000
https://www.immoweb.be/en/classified/house/for-sale/seraing/4101/20230260,3,4,,House,,100,,4101 Seraing,,14,Installed,As new,No,,,,House,279000
https://www.immoweb.be/en/classified/house/for-sale/neupre/4120/20301329,3,2,,House,,350,,4120 Neupr�,,18,Hyper equipped,To be done up,No,,,,House,220000
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20300850,2,2,,House,,,,9000 Gent,,,Installed,To be done up,No,,,,House,239000
https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20302633,,2,,House,,,,9700 Oudenaarde,,,,,,,,,House,345000
https://www.immoweb.be/en/classified/mansion/for-sale/gent/9000/20299641,2,3,,Mansion,,,,9000 Gent,,,Installed,Just renovated,No,,,,Mansion,795000
https://www.immoweb.be/en/classified/villa/for-sale/lochristi/9080/20300191,,4,,Villa,,,,9080 Lochristi,,,Installed,Good,No,,,,Villa,925000
https://www.immoweb.be/en/classified/house/for-sale/seraing-ougree/4102/20276542,3,4,,House,,60,,4102 Seraing Ougr�e,,18,Semi equipped,To be done up,No,,,,House,129000
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20276307,2,3,,House,,,,9600 Ronse,,8,Installed,To be done up,No,,,,House,134500
https://www.immoweb.be/en/classified/house/for-sale/liege/4020/20212155,2,2,,House,,,,4020 Li�ge,,15,Not installed,Good,Yes,,,,House,155000
https://www.immoweb.be/en/classified/house/for-sale/awans/4340/20257087,2,3,,House,,240,,4340 Awans,,30,Not installed,To renovate,No,,,,House,170000
https://www.immoweb.be/en/classified/country-cottage/for-sale/faimes/4317/20265769,4,3,,Country house,,1400,,4317 Faimes,,100,Not installed,To be done up,No,,,,Country house,220000
https://www.immoweb.be/en/classified/house/for-sale/torhout/8820/20266138,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/waremme/4300/20227354,4,3,,House,,130,,4300 Waremme,,15,Not installed,Good,No,,,,House,245000
https://www.immoweb.be/en/classified/house/for-sale/merelbeke/9820/20254505,2,2,,House,,,,9820 Merelbeke,,70,Installed,Just renovated,No,,,,House,269000
https://www.immoweb.be/en/classified/house/for-sale/amay/4540/20280672,4,3,,House,,800,,4540 Amay,,27,Installed,Good,No,,,,House,280000
https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2140/20236473,2,2,,House,,,,2140 Antwerpen,,,Installed,Good,No,,,,House,299900
https://www.immoweb.be/en/classified/house/for-sale/arlon/6700/20283752,3,2,Yes,House,,250,,6700 Arlon,,,Not installed,To renovate,,,,,House,330000
https://www.immoweb.be/en/classified/house/for-sale/remicourt/4351/20190927,4,4,,House,,100,,4351 Remicourt,,20,Installed,Just renovated,No,,,,House,335000
https://www.immoweb.be/en/classified/house/for-sale/houyet/5563/20259053,4,5,Yes,House,,1724,,5563 Houyet,,,Installed,To be done up,No,,,,House,340000
https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/20126499,2,2,,House,,90,,1030 Schaerbeek,,10,Semi equipped,To renovate,No,,,,House,349000
https://www.immoweb.be/en/classified/house/for-sale/denderleeuw/9470/20268222,2,5,,House,,50,,9470 Denderleeuw,,25,Installed,To be done up,No,,,,House,349000
https://www.immoweb.be/en/classified/house/for-sale/tintigny-rossignol/6730/20283721,4,5,,House,,,,6730 Tintigny Rossignol,,,,To be done up,,,,,House,350000
https://www.immoweb.be/en/classified/house/for-sale/waremme/4300/20265120,2,4,,House,,185,,4300 Waremme,,50,Installed,Good,No,,,,House,395000
https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/20285346,3,3,Yes,House,,,,8570 Anzegem,,,Installed,Good,,,,,House,421000
https://www.immoweb.be/en/classified/house/for-sale/brussel/1000/20274379,2,4,,House,,,,1000 Brussel,,8,Installed,To renovate,No,,,,House,425000
https://www.immoweb.be/en/classified/house/for-sale/sint-jans-molenbeek/1080/20274378,2,4,,House,,,,1080 Sint-Jans-Molenbeek,,8,Installed,To renovate,No,,,,House,425000
https://www.immoweb.be/en/classified/town-house/for-sale/uccle/1180/20212283,2,3,,Town-house,,,,1180 Uccle,,20,Hyper equipped,As new,No,,,,Town-house,465000
https://www.immoweb.be/en/classified/villa/for-sale/kortemark/8610/20285308,,4,Yes,Villa,,,,8610 Kortemark,,,Installed,Good,No,,,,Villa,465000
https://www.immoweb.be/en/classified/bungalow/for-sale/tervuren/3080/20228711,4,3,,Bungalow,,300,,3080 Tervuren,,15,Installed,To be done up,No,,,,Bungalow,475000
https://www.immoweb.be/en/classified/house/for-sale/lot/1651/20284082,2,4,,House,,225,,1651 Lot,,43,Hyper equipped,Good,No,,,,House,485000
https://www.immoweb.be/en/classified/villa/for-sale/koksijde/8670/20245339,3,4,,Villa,,,,8670 KOKSIJDE,,41,Installed,,No,,,,Villa,525000
https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/20281496,3,4,,House,,220,,1950 Kraainem,,8,Installed,To be done up,No,,,,House,549000
https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/20281620,2,3,,House,,250,,1950 Kraainem,,16,Not installed,To be done up,No,,,,House,595000
https://www.immoweb.be/en/classified/villa/for-sale/puurs-sint-amands/2870/20213070,4,4,,Villa,,273,,2870 Puurs-Sint-Amands,,,,Good,,,,,Villa,650000
https://www.immoweb.be/en/classified/house/for-sale/schilde/2970/20285317,,3,,House,,,,2970 Schilde,,25,,Good,,,,,House,657800
https://www.immoweb.be/en/classified/exceptional-property/for-sale/bellefontaine/6730/20283973,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/exceptional-property/for-sale/wavre/1300/20239645,4,5,,Exceptional property,,,,1300 Wavre,,50,Installed,Good,No,,,,Exceptional property,695000
https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/20273405,2,6,,House,,12,,1200 Woluwe-Saint-Lambert,,10,Installed,Good,No,,,,House,730000
https://www.immoweb.be/en/classified/villa/for-sale/willebroek/2830/20278072,4,3,Yes,Villa,,,,2830 Willebroek,,,,As new,,,,,Villa,749000
https://www.immoweb.be/en/classified/exceptional-property/for-sale/gingelom/3890/20207853,4,4,,Exceptional property,,1600,,3890 Gingelom,,170,Installed,Good,No,,,,Exceptional property,765000
https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/20233251,2,6,,House,,275,,1030 Schaerbeek,,34,Hyper equipped,As new,No,,,,House,850000
https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/20233258,2,6,,House,,275,,1200 Woluwe-Saint-Lambert,,34,Hyper equipped,As new,No,,,,House,850000
https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20231229,3,6,,House,,250,,1150 Woluwe-Saint-Pierre,,30,Hyper equipped,Good,No,,,,House,965000
https://www.immoweb.be/en/classified/villa/for-sale/woluwe-saint-pierre/1150/20281502,4,5,,Villa,,,,1150 Woluwe-Saint-Pierre,,40,Hyper equipped,Good,No,,,,Villa,1490000
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/gent/9000/20244273,2,7,,Mixed-use building,,,,9000 GENT,,,Installed,To be done up,No,,,,Mixed-use building,2200000
https://www.immoweb.be/en/classified/house/for-sale/fourons/3790/20202146,3,2,,House,,23,,3790 Fourons,,8,Installed,Good,No,,,,House,199000
https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/20275297,,4,,House,,,,8400 Oostende,,8,Installed,To be done up,No,,,,House,399500
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/maarkedal/9680/20272896,3,6,Yes,Mixed-use building,,,,9680 Maarkedal,,,,Good,No,,,,Mixed-use building,669000
https://www.immoweb.be/en/classified/house/for-sale/wambeek/1741/20231226,4,4,,House,,2300,,1741 Wambeek,,23,Installed,Good,No,,,,House,695000
https://www.immoweb.be/en/classified/house/for-sale/arlon/6700/20310334,,,,,,,,,,,,,,,,,,
