URL,Type of property,Terrace,Open fire,Price,Garden Area,Surface of the land,Terrace Area,Number of rooms,Subtype of property,Fully equipped kitchen,State of the building,Locality,Living Area,Number of facades,Surface area of the plot of land,Swimming pool,Garden,Furnished
https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/20317251,House,,,199500,45,,45,2,House,Semi equipped,Good,9230 WETTEREN,,3,,,,
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20316554,House,Yes,,285000,,,,2,House,Installed,Good,9600 RONSE,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/jodoigne/1370/20317090,House,,,349000,2575,,60,3,House,Installed,To renovate,1370 JODOIGNE,,3,,,,
https://www.immoweb.be/en/classified/house/for-sale/de-pinte/9840/20316691,House,Yes,,375000,361,,,3,House,,Good,9840 De Pinte,,,,,,No
https://www.immoweb.be/en/classified/house/for-sale/sleidinge/9940/20315700,House,Yes,,579000,,,,3,House,Installed,Good,9940 SLEIDINGE,,4,,,,
https://www.immoweb.be/en/classified/mansion/for-sale/ronse/9600/20314852,Mansion,,,309000,158,,12,4,Mansion,Installed,Just renovated,9600 Ronse,,2,,,,No
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/beuzet/5030/20307976,Lotissement Ourchet,,,From344999To349999,,,,,Lotissement Ourchet,,,5030 BEUZET,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/aalst/9300/20306071,Den Botanikken Hof - De Tuinpaviljoenen,,,349000,,,,,Den Botanikken Hof - De Tuinpaviljoenen,,,9300 AALST,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/geraardsbergen/9500/20303790,,,,From359000To379000,,,,,,,,9500 Geraardsbergen,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/ninove/9400/20304686,,,,From409000To424000,,,,,,,,9400 Ninove,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/de-haan/8420/20305930,,,,419000,,,,,,,,8420 De Haan,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/de-haan/8420/20305924,,,,419000,,,,,,,,8420 De Haan,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/de-haan/8420/20305885,,,,419000,,,,,,,,8420 De Haan,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/sint-antelinks/9550/20306068,Huigeveld,,,479000,,,,,Huigeveld,,,9550 Sint-Antelinks,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/antwerpen/2018/20307352,Atelier 55,,,485000,,,,,Atelier 55,,,2018 Antwerpen,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/geraardsbergen/9506/20306073,Middenstraat,,,545000,,,,,Middenstraat,,,9506 GERAARDSBERGEN,,,,,,
https://www.immoweb.be/en/classified/exceptional-property/for-sale/sint-katelijne-waver/2860/20309293,Exceptional property,,,1490000,1047,,15,5,Exceptional property,Installed,Good,2860 SINT-KATELIJNE-WAVER,,4,,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/antwerpen/2170/20316957,Mixed-use building,Yes,,289000,,,,3,Mixed-use building,,To renovate,2170 ANTWERPEN,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/wilrijk/2610/20315449,House,,,299000,40,,,3,House,,As new,2610 WILRIJK,,2,,,,
https://www.immoweb.be/en/classified/mansion/for-sale/antwerpen/2018/20315034,Mansion,,,310000,166,,,4,Mansion,Semi equipped,To renovate,2018 ANTWERPEN,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/farciennes/6240/20315320,House,,,350000,,,38,3,House,Semi equipped,Good,6240 FARCIENNES,,3,,,,
https://www.immoweb.be/en/classified/house/for-sale/overijse/3090/20315090,House,,,549000,350,,40,4,House,Installed,Good,3090 Overijse,,4,,,,No
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20315041,House,Yes,,595000,320,,,3,House,Installed,To be done up,9000 Gent,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20315503,House,,,670000,170,,,4,House,Not installed,To renovate,1150 Woluwe-Saint-Pierre,,2,,,,No
https://www.immoweb.be/en/classified/house/for-sale/assenede/9960/20316085,House,Yes,,715000,,,,5,House,Installed,Good,9960 ASSENEDE,,4,,,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/uccle/1180/20315104,Apartment block,,,725000,100,,,3,Apartment block,Installed,To renovate,1180 Uccle,,2,,,,No
https://www.immoweb.be/en/classified/villa/for-sale/kapelle-op-den-bos/1880/20316272,Villa,Yes,,794000,760,,,5,Villa,,As new,1880 Kapelle-op-den-Bos,,4,,,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/vise/4602/20313682,Apartment block,,,230000,7000,,20,6,Apartment block,Installed,To be done up,4602 Visé,,2,,,,No
https://www.immoweb.be/en/classified/apartment-block/for-sale/liege/4020/20312266,Apartment block,,,315000,135,,21,8,Apartment block,Semi equipped,Good,4020 Liège,,2,,,,No
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20314603,House,,,319500,150,,20,3,House,Installed,To renovate,2800 MECHELEN,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/20311806,House,Yes,,598000,200,,,3,House,Installed,To renovate,1970 Wezembeek-Oppem,,4,,,,No
https://www.immoweb.be/en/classified/house/for-sale/knokke-zoute/8300/20312236,House,Yes,,1395000,,,,3,House,Hyper equipped,Good,8300 Knokke-Zoute,,3,,,,No
https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/20309744,House,,,420000,270,,,3,House,Installed,Good,8570 Anzegem,,3,,,,No
https://www.immoweb.be/en/classified/house/for-sale/seraing/4101/20310678,House,,,139000,,,,3,House,Installed,Good,4101 Seraing,,3,,,,No
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/harelbeke/8530/20305614,ARENDSHOF_ FINAERT nieuwbouwwoningen FASE 2,,,From325000To385000,,,,,ARENDSHOF_ FINAERT nieuwbouwwoningen FASE 2,,,8530 HARELBEKE,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/ronse/9600/20305615,WOONERF HOEVE Pessemier,,,From347400To394600,,,,,WOONERF HOEVE Pessemier,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/geraardsbergen-moerbeke/9500/20303987,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/heusden-zolder/3550/20303315,2 HOB moderne BEN woningen,,,From375000To379000,,,,,2 HOB moderne BEN woningen,,,3550 Heusden-Zolder,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/sint-lievens-houtem/9520/20302941,"Paepevelden 1 - 16, 9520",,,From389500To520000,,,,,"Paepevelden 1 - 16, 9520",,,9520 Sint-Lievens-Houtem,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent-mariakerke/9030/20302997,Lieve Gardens,,,From429250To439750,,,,,Lieve Gardens,,,9030 Gent Mariakerke,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent-sint-amandsberg/9040/20302987,Sint-Bernadettestraat 16 - 9040 Sint-Amandsberg,,,From480000To484714,,,,,Sint-Bernadettestraat 16 - 9040 Sint-Amandsberg,,,9040 Gent Sint-Amandsberg,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/herselt/2230/20308544,House,Yes,,584000,,,,3,House,Installed,Good,2230 HERSELT,,4,,,,
https://www.immoweb.be/en/classified/country-cottage/for-sale/tintigny/6730/20315053,Country house,,,189000,,,,3,Country house,USA semi equipped,Good,6730 Tintigny,,3,,,,
https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/20316538,House,Yes,,289500,,,,3,House,Installed,Good,8500 Kortrijk,,2,,,,
https://www.immoweb.be/en/classified/mansion/for-sale/ronse/9600/20309994,Mansion,Yes,,580000,,,,3,Mansion,Installed,Good,9600 Ronse,,4,,,,
https://www.immoweb.be/en/classified/house/for-sale/seraing/4101/20314548,House,,,199000,,,30,3,House,Installed,Good,4101 Seraing,,2,,,,No
