URL,Number of rooms,Surface area of the plot of land,State of the building,Type of property,Garden Area,Fully equipped kitchen,Price,Garden,Surface of the land,Locality,Subtype of property,Living Area,Furnished,Number of facades,Terrace,Open fire,Terrace Area,Swimming pool
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20285224,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20287839,2,,Just renovated,Apartment,,Semi equipped,445000,,,1050 Ixelles,Apartment,,No,2,,,1square meter,
https://www.immoweb.be/en/classified/ground-floor/for-sale/lier/2500/20303850,2,,,Ground floor,36,Installed,312000,,,2500 LIER,Ground floor,,,2,,,12,
https://www.immoweb.be/en/classified/apartment/for-sale/anhee/5537/20301396,1,,As new,Apartment,,Installed,179000,,,5537 Anhée,Apartment,,No,2,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/awans/4340/20300910,1,,As new,Apartment,,Installed,229000,,,4340 Awans,Apartment,,No,2,,,27,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20316079,1,,Good,Apartment,,Installed,169000,,,2000 Antwerpen,Apartment,,No,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20315256,2,,Good,Apartment,,Hyper equipped,215000,,,8370 Blankenberge,Apartment,,No,2,,,6,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20314390,,,Good,Apartment,,,399000,,,8300 Knokke,Apartment,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/watermael-boitsfort/1170/20199488,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/adegem/9991/20292039,1,,Good,Apartment,,,180000,,,9991 Adegem,Apartment,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/diksmuide/8600/20261632,,,,,,,From210850To310950,,,8600 Diksmuide,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20308615,2,,,Apartment,,,229500,,,9000 Gent,Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/de-panne/8660/20261634,,,,Residentie 'Rivoli',,,From245000To599000,,,8660 De Panne,Residentie 'Rivoli',,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/sint-gillis-waas/9170/20245624,,,,Klingedorp,,,From299000To389000,,,9170 Sint-Gillis-Waas,Klingedorp,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/nederename/9700/20261631,,,,Residentie 'Vedastus',,,337665,,,9700 Nederename,Residentie 'Vedastus',,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20309401,1,,Good,Apartment,,Installed,339000,,,1050 Ixelles,Apartment,,,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20309403,2,,To be done up,Apartment,,Installed,340000,,,8370 Blankenberge,Apartment,,No,2,,,3,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/brussel/1000/20242089,,,,Tour & Taxis Park Lane Jaydon,,,From350000To379000,,,1000 Brussel,Tour & Taxis Park Lane Jaydon,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/brussel/1000/20242086,,,,Tour & Taxis Park lane Pacific,,,377000,,,1000 Brussel,Tour & Taxis Park lane Pacific,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/etterbeek/1040/20259958,,,,"""Montgomery Corner""",,,From750000To800000,,,1040 Etterbeek,"""Montgomery Corner""",,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20142697,1,,Good,Apartment,,Installed,285000,,,1000 Bruxelles,Apartment,,No,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20267376,2,,As new,Apartment,,Installed,295000,,,8400 Oostende,Apartment,,No,,,,6,
https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/20267354,3,,Good,Apartment,,Installed,415000,,,3000 Leuven,Apartment,,,,,,2,
https://www.immoweb.be/en/classified/apartment/for-sale/aarlen/6700/20220247,1,,Good,Apartment,,Hyper equipped,190000,,,6700 Aarlen,Apartment,,No,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/aarlen/6700/20220246,1,,Good,Apartment,,Hyper equipped,205000,,,6700 Aarlen,Apartment,,No,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/zandvliet/2040/20282628,2,,Good,Apartment,,Installed,299999,,,2040 Zandvliet,Apartment,,No,,,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/etterbeek/1040/20232667,2,,Good,Penthouse,,USA hyper equipped,750000,,,1040 Etterbeek,Penthouse,,,2,,,20,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20268382,3,,Good,Apartment,,Not installed,850000,,,1050 Ixelles,Apartment,,,3,,,25,
https://www.immoweb.be/en/classified/duplex/for-sale/knokke-heist/8300/20282650,4,,Good,Duplex,,Hyper equipped,1650000,,,8300 Knokke-Heist,Duplex,,No,2,,,40,
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4020/20297569,3,,Good,Apartment,,Installed,170000,,,4020 Liege,Apartment,,No,2,,,35,
https://www.immoweb.be/en/classified/apartment/for-sale/boom/2850/20297009,2,,,Apartment,,,259000,,,2850 Boom,Apartment,,No,,,,85,
https://www.immoweb.be/en/classified/apartment/for-sale/kruisem/9770/20299770,2,,Good,Apartment,,Installed,335000,,,9770 KRUISEM,Apartment,,,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20297760,4,,Good,Apartment,,Installed,349000,,,1030 Schaerbeek,Apartment,,No,2,,,2,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20297759,4,,Good,Apartment,,Installed,349000,,,1200 Woluwe-Saint-Lambert,Apartment,,No,2,,,2,
https://www.immoweb.be/en/classified/apartment/for-sale/kruibeke-bazel/9150/20310572,2,,Good,Apartment,,Semi equipped,230000,,,9150 Kruibeke Bazel,Apartment,,No,2,,,8,
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20310905,3,,Good,Apartment,,Installed,348000,,,1140 Evere,Apartment,,,2,,,9,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20262851,2,,As new,Apartment,,,545000,,,,Apartment,,No,,,,25,
https://www.immoweb.be/en/classified/apartment/for-sale/auderghem/1160/20167051,3,,To be done up,Apartment,,Installed,725000,,,1160 Auderghem,Apartment,,No,2,,,13,
https://www.immoweb.be/en/classified/triplex/for-sale/ixelles/1050/20313976,3,,Just renovated,Triplex,,Installed,2150000,,,,Triplex,,,2,,,65,
