URL,Number of rooms,Surface area of the plot of land,State of the building,Type of property,Garden Area,Fully equipped kitchen,Price,Garden,Surface of the land,Locality,Subtype of property,Living Area,Furnished,Number of facades,Terrace,Open fire,Terrace Area,Swimming pool
https://www.immoweb.be/en/classified/apartment/for-sale/stabroek/2940/20267403,2,,Good,Apartment,,Installed,215000,,,2940 Stabroek,Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/bredene/8450/20270127,2,,Good,Penthouse,,Installed,319000,,,8450 BREDENE,Penthouse,,,2,,,5,
https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/20267586,2,,Good,Apartment,,Installed,425000,,,3000 Leuven,Apartment,,No,,Yes,,,
https://www.immoweb.be/en/classified/kot/for-sale/namur/5000/20228856,,,As new,Kot,,Hyper equipped,117800,,,5000 Namur,Kot,,No,2,,,,
https://www.immoweb.be/en/classified/flat-studio/for-sale/zaventem-sint-stevens-woluwe/1932/20279667,,,As new,Flat studio,,Hyper equipped,145000,,,1932 Zaventem Sint-Stevens-Woluwe,Flat studio,,No,4,,,4,
https://www.immoweb.be/en/classified/apartment/for-sale/flemalle-grande/4400/20284077,2,,To restore,Apartment,,Not installed,230000,,,4400 FLÉMALLE-GRANDE,Apartment,,,2,,,16,
https://www.immoweb.be/en/classified/ground-floor/for-sale/laeken/1020/20271140,1,,As new,Ground floor,100,Installed,235000,,,1020 Laeken,Ground floor,,No,2,,,15,
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20255317,2,,As new,Apartment,,Hyper equipped,245000,,,1070 Anderlecht,Apartment,,No,2,,,3,
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20209202,2,,Good,Apartment,100,Hyper equipped,245000,,,1070 Anderlecht,Apartment,,,2,,,3,
https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20195418,1,,Good,Apartment,,Not installed,259000,,,1190 Forest,Apartment,,No,2,,,3,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20284176,1,,As new,Apartment,,Hyper equipped,277500,,,1000 Bruxelles,Apartment,,No,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20233538,2,,Good,Apartment,,Hyper equipped,300000,,,1080 Molenbeek-Saint-Jean,Apartment,,No,2,,,25,
https://www.immoweb.be/en/classified/triplex/for-sale/schaerbeek/1030/20236024,3,,As new,Triplex,,Hyper equipped,545000,,,1030 Schaerbeek,Triplex,,Yes,2,,,25,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/20282297,3,,Good,Apartment,,Hyper equipped,3495000,,,8300 Knokke-Zoute,Apartment,,No,2,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/20282554,2,,Good,Apartment,,Hyper equipped,3950000,,,8300 Knokke-Zoute,Apartment,,No,2,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4020/20297765,1,,Good,Apartment,,Installed,120000,,,4020 Liege,Apartment,,No,2,,,35,
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4020/20297570,2,,Good,Apartment,,Installed,140000,,,4020 Liege,Apartment,,No,2,,,35,
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4020/20298244,2,,,Apartment,,Installed,150000,,,4020 LIÈGE,Apartment,,,3,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2050/2050/20297130,2,,Good,Apartment,,,220000,,,2050 Antwerpen (2050),Apartment,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/jambes/5100/20297987,3,,,Apartment,,Not installed,260000,,,5100 JAMBES,Apartment,,,3,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/brasschaat/2930/20296833,2,,Good,Apartment,,Installed,275000,,,2930 Brasschaat,Apartment,,,3,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20296902,1,,,Apartment,,,335000,,,8370 Blankenberge,Apartment,,Yes,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20298763,2,,As new,Apartment,80,Semi equipped,699000,,,2000 ANTWERPEN,Apartment,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20298764,2,,As new,Apartment,80,Semi equipped,699000,,,2018 ANTWERPEN,Apartment,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9000/20255903,,,,,,,From249500To320000,,,9000 Gent,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/lier/2500/20256689,,,,Kwarts,,,From274000To459000,,,2500 LIER,Kwarts,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/anderlecht/1070/20167879,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/saint-josse-ten-noode/1210/20258359,,,,PROJET BOTANIQUE 47,,,From320000To775000,,,,PROJET BOTANIQUE 47,,,,,,,
https://www.immoweb.be/en/classified/service-flat/for-sale/mechelen/2800/20314693,1,,,Service flat,,,275000,,,2800 Mechelen,Service flat,,,,,,6,
https://www.immoweb.be/en/classified/apartment/for-sale/herselt/2230/20314696,1,,,Apartment,,,301160,,,2230 Herselt,Apartment,,,,,,22,
https://www.immoweb.be/en/classified/service-flat/for-sale/mechelen/2800/20314694,1,,,Service flat,,,305000,,,2800 Mechelen,Service flat,,,,,,7,
https://www.immoweb.be/en/classified/service-flat/for-sale/mechelen/2800/20314691,1,,,Service flat,,,310000,,,2800 Mechelen,Service flat,,,,,,7,
https://www.immoweb.be/en/classified/apartment/for-sale/herselt/2230/20314699,2,,,Apartment,,,335310,,,2230 Herselt,Apartment,,,,,,11,
https://www.immoweb.be/en/classified/apartment/for-sale/herselt/2230/20314698,2,,,Apartment,,,349065,,,2230 Herselt,Apartment,,,,,,11,
https://www.immoweb.be/en/classified/apartment/for-sale/herselt/2230/20314697,3,,,Apartment,,,499630,,,2230 Herselt,Apartment,,,,,,50,
https://www.immoweb.be/en/classified/ground-floor/for-sale/anderlecht/1070/20212870,3,,Good,Ground floor,35,Semi equipped,310000,,,1070 Anderlecht,Ground floor,,No,2,,,27,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20291720,3,,Just renovated,Apartment,,Installed,1450000,,,1050 Ixelles,Apartment,,No,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9300/20306104,3,,,Apartment,,Installed,260250,,,9300 AALST,Apartment,,,4,,,8,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20306565,2,,As new,Apartment,,Installed,380000,,,,Apartment,,No,2,,,7,
https://www.immoweb.be/en/classified/service-flat/for-sale/deinze/9800/20308483,2,,Good,Service flat,,USA installed,419000,,,,Service flat,,,2,,,13,
https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/20308957,2,,Good,Apartment,,Installed,499000,,,1090 Jette,Apartment,,No,2,,,10,
https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/20305231,3,,As new,Apartment,,,499000,,,3500 Hasselt,Apartment,,,,,,11,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20308648,3,,As new,Apartment,,,585000,,,2018 Antwerpen,Apartment,,,3,,,12,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20184485,4,,Good,Apartment,,Installed,675000,,,1180 Uccle,Apartment,,No,2,,,11,
https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/20234144,3,,Good,Apartment,,Hyper equipped,765000,,,1060 Saint-Gilles,Apartment,,No,,,,27,
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20236870,1,,Good,Apartment,,Installed,250000,,,1140 Evere,Apartment,,,2,,,5,
https://www.immoweb.be/en/classified/apartment/for-sale/groot-bijgaarden/1702/20275413,2,,Good,Apartment,,Semi equipped,279000,,,1702 Groot-Bijgaarden,Apartment,,No,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/20276748,2,,Just renovated,Apartment,,Installed,650000,,,8430 MIDDELKERKE,Apartment,,Yes,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20297118,3,,As new,Apartment,,Hyper equipped,1160000,,,1180 Uccle,Apartment,,No,2,,,28,
https://www.immoweb.be/en/classified/apartment/for-sale/jodoigne/1370/20295849,2,,,Apartment,,Installed,200000,,,1370 Jodoigne,Apartment,,,3,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20294830,2,,Good,Apartment,,Semi equipped,245000,,,1180 Uccle,Apartment,,No,2,,,5,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20295061,1,,Good,Apartment,,Hyper equipped,249000,,,1050 Ixelles,Apartment,,No,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/20295071,3,,To renovate,Apartment,,Not installed,299000,,,1300 Wavre,Apartment,,No,2,,,44,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20310772,2,,Good,Apartment,,Installed,387500,,,9000 Gent,Apartment,,No,2,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/oostrozebeke/8780/20286808,3,,Good,Apartment,,Installed,159000,,,8780 Oostrozebeke,Apartment,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20289607,1,,Good,Apartment,,Installed,175000,,,1080 Molenbeek-Saint-Jean,Apartment,,No,2,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20289747,1,,Good,Apartment,,Hyper equipped,295000,,,1050 Ixelles,Apartment,,No,3,,,,
https://www.immoweb.be/en/classified/service-flat/for-sale/brugge/8000/20304870,1,,As new,Service flat,,Installed,115000,,,8000 Brugge,Service flat,,,2,,,10,
https://www.immoweb.be/en/classified/apartment/for-sale/onze-lieve-vrouw-waver/2861/20302804,1,,,Apartment,,Installed,189000,,,2861 Onze-Lieve-Vrouw-Waver,Apartment,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/beveren/9120/20305017,2,,To be done up,Apartment,,Semi equipped,210000,,,9120 Beveren,Apartment,,No,2,,,6,
https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/20302554,2,,,Apartment,,,565000,,,8500 Kortrijk,Apartment,,No,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/20180608,3,,Good,Apartment,,Installed,175000,,,2660 HOBOKEN,Apartment,,,,,,5,
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20151618,2,,Good,Apartment,,Installed,179000,,,2100 DEURNE,Apartment,,Yes,2,,,5,
https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/20078303,2,,Good,Apartment,,Installed,179000,,,2140 BORGERHOUT,Apartment,,Yes,2,,,5,
https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/20242596,2,,Good,Apartment,,Installed,194900,,,2140 BORGERHOUT,Apartment,,,2,,,3,
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20242595,2,,Good,Apartment,,Installed,194900,,,2600 BERCHEM,Apartment,,,2,,,3,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2020/20214720,2,,As new,Apartment,,Installed,199000,,,2020 ANTWERPEN,Apartment,,,2,,,2,
https://www.immoweb.be/en/classified/flat-studio/for-sale/ixelles/1050/20214007,,,As new,Flat studio,35,,219000,,,1050 Ixelles,Flat studio,,,2,,,35,
https://www.immoweb.be/en/classified/apartment/for-sale/nivelles/1400/20218830,3,,To be done up,Apartment,,Installed,219000,,,1400 NIVELLES,Apartment,,No,2,,,11,
https://www.immoweb.be/en/classified/apartment/for-sale/schoten/2900/20233362,2,,Good,Apartment,,Installed,225000,,,2900 SCHOTEN,Apartment,,,,,,3,
https://www.immoweb.be/en/classified/penthouse/for-sale/schoten/2900/20233363,2,,Good,Penthouse,,Installed,225000,,,2900 SCHOTEN,Penthouse,,,,,,3,
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20237612,3,,Good,Apartment,,Installed,240000,,,2600 BERCHEM,Apartment,,,,,,17,
https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/20048409,2,,To renovate,Apartment,,Installed,245000,,,1300 WAVRE,Apartment,,No,4,,,16,
https://www.immoweb.be/en/classified/apartment/for-sale/bierges/1301/20047478,2,,To renovate,Apartment,,Installed,245000,,,1301 BIERGES,Apartment,,No,4,,,16,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20053999,1,,Good,Apartment,7,Not installed,249000,,,1150 Woluwe-Saint-Pierre,Apartment,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/20204444,2,,As new,Apartment,,,259000,,,2660 Hoboken,Apartment,,,,,,9,
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/11368520,2,,Good,Apartment,45,Hyper equipped,268000,,,4000 LIÈGE,Apartment,,,2,,,18,
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/11402961,2,,Just renovated,Apartment,,Hyper equipped,275000,,,4000 LIÈGE,Apartment,,,2,,,3,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20165955,2,,Good,Apartment,,Installed,289000,,,2018 ANTWERPEN,Apartment,,No,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20227281,2,,Just renovated,Apartment,,Installed,289000,,,2600 BERCHEM,Apartment,,,,,,11,
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20245601,3,,Good,Apartment,200,Installed,295000,,,2100 DEURNE,Apartment,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/20071269,2,,As new,Apartment,,,296000,,,2660 HOBOKEN,Apartment,,,2,,,9,
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20127974,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20279794,2,,Good,Apartment,,Hyper equipped,398000,,,1150 Woluwe-Saint-Pierre,Apartment,,,2,,,4,
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/11265699,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20221373,3,,Good,Apartment,,Installed,419000,,,2600 BERCHEM,Apartment,,,,,,20,
https://www.immoweb.be/en/classified/apartment/for-sale/steenokkerzeel/1820/20050372,3,,Good,Apartment,,Installed,429000,,,1820 STEENOKKERZEEL,Apartment,,,2,,,18,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20133689,2,,Good,Apartment,60,Hyper equipped,550000,,,1000 Bruxelles,Apartment,,No,2,,,12,
https://www.immoweb.be/en/classified/apartment/for-sale/lommel/3920/20194759,3,,As new,Apartment,,Hyper equipped,569000,,,3920 Lommel,Apartment,,,2,,,30,
https://www.immoweb.be/en/classified/apartment/for-sale/heist-aan-zee/8301/20046743,2,,Good,Apartment,,Installed,645000,,,8301 Heist-aan-Zee,Apartment,,No,2,,,11,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/11040240,2,,Just renovated,Apartment,,Hyper equipped,985000,,,8300 Knokke,Apartment,,Yes,2,,,50,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/11028615,3,,Just renovated,Apartment,,Hyper equipped,1195000,,,8300 Knokke,Apartment,,Yes,2,,,4,
https://www.immoweb.be/en/classified/apartment/for-sale/hofstade/9308/20265644,2,,Good,Apartment,,Installed,239000,,,9308 HOFSTADE,Apartment,,,2,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20265781,2,,Just renovated,Apartment,,Hyper equipped,365000,,,2100 DEURNE,Apartment,,,2,,,5,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20044380,3,,Good,Apartment,,Hyper equipped,655000,,,1150 Woluwe-Saint-Pierre,Apartment,,No,2,,,22,
https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/20280155,1,,To renovate,Apartment,,,117500,,,8500 Kortrijk,Apartment,,No,,,,,
https://www.immoweb.be/en/classified/ground-floor/for-sale/woluwe-saint-lambert/1200/20268445,2,,As new,Ground floor,33,Hyper equipped,547000,,,1200 Woluwe-Saint-Lambert,Ground floor,,No,2,,,13,
https://www.immoweb.be/en/classified/apartment/for-sale/auderghem/1160/20294476,2,,As new,Apartment,,Hyper equipped,495000,,,1160 Auderghem,Apartment,,No,2,,,24,
https://www.immoweb.be/en/classified/apartment/for-sale/auderghem/1160/20294458,2,,As new,Apartment,,Hyper equipped,495000,,,1160 Auderghem,Apartment,,No,,,,24,
https://www.immoweb.be/en/classified/apartment/for-sale/oostduinkerke/8670/20296383,3,,,Apartment,,Hyper equipped,985000,,,8670 OOSTDUINKERKE,Apartment,,,4,,,113,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/berchem-sainte-agathe/1082/20193450,,,,AGATHA GARDEN,,,From199000To535000,,,1082 Berchem-Sainte-Agathe,AGATHA GARDEN,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/geel/2440/20253832,,,,Kleinschalig project 6 appartementen,,,From200000To290000,,,2440 GEEL,Kleinschalig project 6 appartementen,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/tenneville/6970/20252887,,,,Résidence Holvoet,,,From209900To259900,,,6970 Tenneville,Résidence Holvoet,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/turnhout/2300/20254639,,,,Residentie Tamboer,,,From232900To408900,,,2300 TURNHOUT,Residentie Tamboer,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/mortsel/2640/20253374,,,,STADSTERRAS,,,From235000To2300000,,,,STADSTERRAS,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/sint-denijs-westrem/9051/20252409,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/20233595,,,,DEPOT,,,From265000To500000,,,1000 BRUXELLES,DEPOT,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/liedekerke/1770/20255363,,,,Vallei Houtkauter,,,From286000To462000,,,,Vallei Houtkauter,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/kruisem/9770/20252410,,,,Kruishove,,,From305000To425000,,,9770 Kruisem,Kruishove,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/merelbeke/9820/20252408,,,,De Lijsters,,,From366500To645500,,,9820 Merelbeke,De Lijsters,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/hoevenen/2940/20278431,2,,To renovate,Apartment,,Semi equipped,175000,,,2940 Hoevenen,Apartment,,No,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/aalst-9300/9300/20278388,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/erembodegem/9320/20278389,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/lendelede/8860/20278429,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20276760,2,,Good,Apartment,,,815000,,,8300 Knokke,Apartment,,No,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/20278338,2,,Good,Apartment,,Hyper equipped,985000,,,8300 Knokke-Zoute,Apartment,,No,2,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20278567,3,,Good,Apartment,,,1050000,,,8300 Knokke,Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/20278339,3,,Good,Apartment,,Hyper equipped,1050000,,,8300 Knokke-Zoute,Apartment,,Yes,2,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20276757,2,,As new,Apartment,,,1950000,,,8300 Knokke,Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20276770,2,,As new,Apartment,,,2375000,,,8300 Knokke,Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20286370,2,,Good,Apartment,,Hyper equipped,390000,,,1050 Ixelles,Apartment,,No,2,,,2,
https://www.immoweb.be/en/classified/apartment/for-sale/de-haan/8420/20285498,4,,Good,Apartment,,Installed,529000,,,8420 De Haan,Apartment,,No,,,,,
https://www.immoweb.be/en/classified/service-flat/for-sale/merelbeke/9820/20285243,1,,As new,Service flat,,,539000,,,9820 Merelbeke,Service flat,,No,,,,25,
https://www.immoweb.be/en/classified/apartment/for-sale/brasschaat/2930/20301880,2,,As new,Apartment,,Hyper equipped,285000,,,2930 Brasschaat,Apartment,,No,2,,,8,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20302584,2,,Good,Apartment,,Installed,370000,,,1180 UCCLE,Apartment,,,3,,,15,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20301998,2,,Just renovated,Apartment,,Installed,425000,,,1050 Ixelles,Apartment,,,2,,,25,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20301074,2,,As new,Apartment,,Installed,925000,,,2000 Antwerpen,Apartment,,,2,,,80,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20316411,1,,Just renovated,Apartment,,Hyper equipped,180000,,,2060 Antwerpen,Apartment,,No,2,,,8,
https://www.immoweb.be/en/classified/apartment/for-sale/lille/2275/20316879,3,,As new,Apartment,,,299000,,,2275 Lille,Apartment,,No,2,,,23,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20314973,2,,As new,Apartment,,Hyper equipped,824000,,,2000 Antwerpen,Apartment,,,2,,,30,
https://www.immoweb.be/en/classified/apartment/for-sale/melle/9090/20272721,2,,Good,Apartment,,Installed,278000,,,9090 Melle,Apartment,,No,,,,8,
https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/20273373,2,,As new,Apartment,,Installed,295000,,,1081 KOEKELBERG,Apartment,,,2,,,6,
https://www.immoweb.be/en/classified/ground-floor/for-sale/uccle/1180/20238322,2,,As new,Ground floor,,Hyper equipped,398000,,,1180 Uccle,Ground floor,,No,2,,,40,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20273311,2,,Just renovated,Apartment,,Hyper equipped,445000,,,9000 GENT,Apartment,,,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/20272608,3,,Just renovated,Apartment,,Hyper equipped,2150000,,,8300 Knokke-Zoute,Apartment,,No,4,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9050/20293239,2,,Good,Apartment,1square meter,Installed,279000,,,9050 Gent,Apartment,,,3,,,,
https://www.immoweb.be/en/classified/flat-studio/for-sale/gent/9000/20308787,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/profondeville-lustin/5170/20309639,2,,As new,Apartment,38,Installed,220000,,,,Apartment,,No,3,,,10,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20308694,2,,,Apartment,,,227500,,,9000 Gent,Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/mariakerke/9030/20308614,2,,,Apartment,,,227500,,,9030 Mariakerke,Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20309590,2,,As new,Apartment,,Hyper equipped,640000,,,8300 Knokke-Heist,Apartment,,,2,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/duffel/2570/20250291,1,,Good,Apartment,215,,215000,,,2570 DUFFEL,Apartment,,,,,,36,
https://www.immoweb.be/en/classified/apartment/for-sale/vilvoorde/1800/20252058,1,,Good,Apartment,,Installed,269000,,,1800 VILVOORDE,Apartment,,,,,,9,
https://www.immoweb.be/en/classified/apartment/for-sale/zaventem-sint-stevens-woluwe/1932/20217507,1,,As new,Apartment,,Hyper equipped,245000,,,1932 Zaventem Sint-Stevens-Woluwe,Apartment,,No,2,,,12,
https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/20269510,1,,Good,Apartment,,Installed,299000,,,8430 MIDDELKERKE,Apartment,,Yes,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20266263,2,,Good,Apartment,,Hyper equipped,340000,,,1190 Forest,Apartment,,No,2,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/20269011,2,,Good,Apartment,,,415000,,,3000 LEUVEN,Apartment,,Yes,2,,,7,
https://www.immoweb.be/en/classified/penthouse/for-sale/herent/3020/20267583,3,,As new,Penthouse,,,975000,,,3020 Herent,Penthouse,,No,,,,220,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20284596,1,,Good,Apartment,,Semi equipped,145000,,,1080 Molenbeek-Saint-Jean,Apartment,,No,,,,13,
https://www.immoweb.be/en/classified/apartment/for-sale/saint-josse-ten-noode/1210/20235820,1,,To renovate,Apartment,,Semi equipped,149000,,,1210 Saint-Josse-ten-Noode,Apartment,,No,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/grace-hollogne/4460/20284400,2,,Good,Apartment,,Semi equipped,219000,,,4460 GRÂCE-HOLLOGNE,Apartment,,,3,,,30,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20129098,2,,As new,Apartment,,Hyper equipped,220000,,,1080 MOLENBEEK-SAINT-JEAN,Apartment,,No,2,,,8,
https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/20285659,3,,To be done up,Apartment,,Not installed,220000,,,1090 Jette,Apartment,,No,,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20283652,1,,Good,Apartment,,Installed,225000,,,1000 BRUSSEL,Apartment,,Yes,2,,,2,
https://www.immoweb.be/en/classified/apartment/for-sale/aalst-9300/9300/20282670,3,,Just renovated,Apartment,,,249000,,,9300 Aalst (9300),Apartment,,No,2,Yes,,,
https://www.immoweb.be/en/classified/duplex/for-sale/arlon/6700/20283733,2,,Good,Duplex,,Semi equipped,250000,,,6700 Arlon,Duplex,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9300/20284641,3,,Good,Apartment,,,289000,,,9300 AALST,Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/duplex/for-sale/oostende/8400/20281714,2,,As new,Duplex,,Installed,298000,,,8400 Oostende,Duplex,,No,2,,,38,
https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/20284458,2,,Good,Apartment,,Installed,299000,,,1500 HALLE,Apartment,,,2,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20262929,2,,As new,Apartment,,Hyper equipped,345000,,,1140 Evere,Apartment,,No,3,,,3,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20199209,2,,Good,Apartment,,Hyper equipped,365000,,,1000 Bruxelles,Apartment,,No,2,Yes,,,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20234145,3,,Good,Apartment,,Semi equipped,420000,,,1200 Woluwe-Saint-Lambert,Apartment,,No,,,,9,
https://www.immoweb.be/en/classified/apartment/for-sale/hooglede/8830/20242958,3,,Good,Apartment,,Installed,479000,,,8830 Hooglede,Apartment,,,,,,,
https://www.immoweb.be/en/classified/ground-floor/for-sale/ronse/9600/20128154,2,,As new,Ground floor,110,Hyper equipped,495000,,,9600 Ronse,Ground floor,,No,2,,,137,
