URL,Open fire,Subtype of property,Fully equipped kitchen,Surface of the land,Surface area of the plot of land,Furnished,Terrace Area,Price,Number of facades,Number of rooms,Garden,State of the building,Swimming pool,Type of property,Terrace,Locality,Garden Area,Living Area
https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/20293961,,House,Semi equipped,,,,,379000,2,2,,To be done up,,House,,1050 Ixelles,,
https://www.immoweb.be/en/classified/house/for-sale/anseroeul/7750/20242611,,House,Semi equipped,,,,50,148500,2,2,,To renovate,,House,,7750 ANSEROEUL,452,
https://www.immoweb.be/en/classified/house/for-sale/liege-angleur/4031/20118256,,House,Not installed,,,No,42,159000,4,2,,As new,,House,,4031 Liège Angleur,225,
https://www.immoweb.be/en/classified/house/for-sale/libin/6890/11487733,,House,Not installed,,,,,169000,2,3,,To renovate,,House,,6890 LIBIN,,
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20122600,,House,Installed,,,No,20,175000,2,3,,Just renovated,,House,,4100 Seraing,93,
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/11371237,,House,Not installed,,,,,179000,2,4,,To restore,,House,,4400 FLÉMALLE,140,
https://www.immoweb.be/en/classified/house/for-sale/rochefort/5580/20077704,,House,Installed,,,No,60,179000,2,4,,Good,,House,,5580 Rochefort,161,
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20148086,,House,Semi equipped,,,,10,185000,3,4,,Good,,House,,4100 Seraing,126,
https://www.immoweb.be/en/classified/house/for-sale/marche-en-famenne/6900/20017054,,House,Not installed,,,No,,185000,4,3,,Good,,House,Yes,6900 Marche-en-Famenne,2131,
https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/11440824,,House,Semi equipped,,,No,13,188000,3,2,,To be done up,,House,,4040 HERSTAL,,
https://www.immoweb.be/en/classified/house/for-sale/marche-en-famenne/6900/20192027,,House,Installed,,,,20,199000,3,2,,Just renovated,,House,,6900 MARCHE-EN-FAMENNE,170,
https://www.immoweb.be/en/classified/house/for-sale/sinsin/5377/20004344,,House,Not installed,,,No,30,229000,4,4,,To be done up,,House,,5377 Sinsin,740,
https://www.immoweb.be/en/classified/house/for-sale/ans/4430/11487082,,House,,,,,,230000,3,5,,To be done up,,House,,4430 ANS,108,
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/20148819,,House,Semi equipped,,,No,38,240000,3,3,,As new,,House,,4400 Flémalle,287,
