URL,Locality,Furnished,Open fire,Garden Area,Type of property,Terrace,Garden,Price,Subtype of property,Fully equipped kitchen,Surface of the land,Number of facades,State of the building,Surface area of the plot of land,Swimming pool,Living Area,Terrace Area,Number of rooms
https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20262065,1000 BRUSSEL,Yes,,,Apartment,,,215000,Apartment,Installed,,2,Good,,,,18,1
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20258195,1000 Bruxelles,,,,Apartment,,,325000,Apartment,Hyper equipped,,4,As new,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20131160,1190 Forest,No,,,Apartment,,,325000,Apartment,Hyper equipped,,,As new,,,,5,2
https://www.immoweb.be/en/classified/penthouse/for-sale/forest/1190/20131157,1190 Forest,No,,,Penthouse,,,335000,Penthouse,Hyper equipped,,,As new,,,,11,1
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20258224,1000 Bruxelles,,,,Apartment,,,364000,Apartment,Hyper equipped,,4,As new,,,,8,2
https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20277745,1190 Forest,,,,Apartment,,,364000,Apartment,Hyper equipped,,2,As new,,,,8,3
https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/20258247,1000 Bruxelles,,,,Ground floor,,,407000,Ground floor,Hyper equipped,,4,As new,,,,10,2
https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/20258238,1000 Bruxelles,,,,Ground floor,,,407000,Ground floor,Hyper equipped,,4,As new,,,,12,2
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20228275,1200 Woluwe-Saint-Lambert,No,,,Apartment,,,540000,Apartment,Hyper equipped,,2,As new,,,,11,2
https://www.immoweb.be/en/classified/apartment/for-sale/lier/2500/20278159,2500 LIER,,,,Apartment,,,245000,Apartment,Installed,,,,,,,6,2
https://www.immoweb.be/en/classified/apartment/for-sale/wondelgem/9032/20275541,9032 Wondelgem,,,,Apartment,Yes,,255000,Apartment,,,,,,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20277704,1070 ANDERLECHT,,,,Apartment,,,269000,Apartment,Installed,,2,Just renovated,,,,6,2
https://www.immoweb.be/en/classified/penthouse/for-sale/kortrijk/8500/20278032,8500 Kortrijk,No,,300,Penthouse,Yes,,790000,Penthouse,Hyper equipped,,3,As new,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20295513,1180 Uccle,No,,,Apartment,,,315000,Apartment,Hyper equipped,,2,Good,,,,11,2
https://www.immoweb.be/en/classified/duplex/for-sale/knokke-heist/8301/20296381,8301 Knokke-Heist,No,,,Duplex,,,1650000,Duplex,Hyper equipped,,2,As new,,,,40,4
https://www.immoweb.be/en/classified/triplex/for-sale/saint-ghislain/7330/20314564,7330 Saint-Ghislain,No,,,Triplex,,,180000,Triplex,Installed,,2,As new,,,,15,3
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20290101,1050 Ixelles,,,,Apartment,,,450000,Apartment,USA installed,,,As new,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20255569,8300 KNOKKE,,,,Apartment,,,580000,Apartment,Installed,,2,Good,,,,5,2
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/20253649,4000 LIÈGE,,,,Apartment,,,690000,Apartment,Installed,,2,Good,,,,9,2
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/20252388,8300 Knokke-Zoute,Yes,,,Apartment,Yes,,795000,Apartment,Hyper equipped,,2,Good,,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/strombeek-bever/1853/20270206,1853 Strombeek-Bever,No,,,Apartment,Yes,,225000,Apartment,Installed,,,,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/20268570,2000 Antwerpen (2000),,,,Apartment,Yes,,359000,Apartment,Installed,,,Just renovated,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20155354,1000 Bruxelles,No,,,Apartment,,,495000,Apartment,Installed,,2,Good,,,,5,3
https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/20288628,1081 Koekelberg,No,,,Apartment,,,249000,Apartment,Semi equipped,,2,Good,,,,10,2
https://www.immoweb.be/en/classified/apartment/for-sale/evergem/9940/20287740,9940 Evergem,No,,,Apartment,,,263668,Apartment,,,,Good,,,,,1
https://www.immoweb.be/en/classified/ground-floor/for-sale/lint/2547/20290664,2547 LINT,,,,Ground floor,,,299500,Ground floor,Installed,,4,,,,,48,2
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4020/20303470,4020 Liège,No,,,Apartment,,,129000,Apartment,Semi equipped,,2,To be done up,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/sint-jans-molenbeek/1080/20304496,1080 Sint-Jans-Molenbeek,No,,,Apartment,,,245000,Apartment,Installed,,3,Good,,,,6,2
https://www.immoweb.be/en/classified/flat-studio/for-sale/oostende/8400/20242506,8400 Oostende,,,,Flat studio,Yes,,99500,Flat studio,,,,Good,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/10465432,9051 SINT-DENIJS-WESTREM,,,,Apartment,,,120000,Apartment,Not installed,,2,To be done up,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/10465431,9051 SINT-DENIJS-WESTREM,,,,Apartment,,,125000,Apartment,Not installed,,2,To be done up,,,,,1
https://www.immoweb.be/en/classified/flat-studio/for-sale/oostende/8400/20146070,8400 Oostende,,,,Flat studio,,,145000,Flat studio,,,,To renovate,,,,4,
https://www.immoweb.be/en/classified/apartment/for-sale/frasnes-lez-buissenal/7911/20229186,7911 Frasnes-lez-Buissenal,,,,Apartment,,,148000,Apartment,Installed,,,As new,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/zottegem/9620/20191748,9620 Zottegem,No,,,Apartment,,,159500,Apartment,,,2,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/10888081,8434 Westende,Yes,,,Apartment,Yes,,168000,Apartment,,,,To be done up,,,,,1
https://www.immoweb.be/en/classified/flat-studio/for-sale/kortrijk/8500/20244526,8500 Kortrijk,No,,,Flat studio,Yes,,168000,Flat studio,Semi equipped,,2,To be done up,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/merksem/2170/20178584,2170 Merksem,,,,Apartment,,,169000,Apartment,Installed,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20231909,2100 DEURNE,,,,Apartment,,,170000,Apartment,Installed,,2,To be done up,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/sint-niklaas/9100/20217981,9100 Sint-Niklaas,No,,,Apartment,,,170000,Apartment,Installed,,,Good,,,,15,2
https://www.immoweb.be/en/classified/apartment/for-sale/wenduine/8420/11022344,8420 WENDUINE,Yes,,,Apartment,,,175000,Apartment,,,,Good,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/ingelmunster/8770/20180131,8770 Ingelmunster,,,,Apartment,Yes,,175000,Apartment,Semi equipped,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20068560,2060 ANTWERPEN,,,,Apartment,,,177500,Apartment,Installed,,3,Just renovated,,,,6,1
https://www.immoweb.be/en/classified/apartment/for-sale/merksem/2170/20231280,2170 MERKSEM,,,,Apartment,,,179000,Apartment,Semi equipped,,2,Good,,,,4,2
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20217614,2060 ANTWERPEN,,,,Apartment,,,184900,Apartment,Installed,,3,As new,,,,,1
https://www.immoweb.be/en/classified/flat-studio/for-sale/anderlecht/1070/20181184,1070 Anderlecht,No,,,Flat studio,,,185000,Flat studio,Hyper equipped,,,As new,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/11119478,1070 Anderlecht,No,,,Apartment,,,189000,Apartment,Semi equipped,,2,As new,,,,16,2
https://www.immoweb.be/en/classified/kot/for-sale/leuven/3000/20019583,3000 Leuven,Yes,,,Kot,,,193000,Kot,Hyper equipped,,,As new,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/20223029,2140 BORGERHOUT,,,,Apartment,,,194000,Apartment,Installed,,2,Good,,,,,2
https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1120/20026046,1120 Bruxelles,No,,100,Ground floor,,,199000,Ground floor,,,2,Good,,,,10,1
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20223644,2018 ANTWERPEN,,,,Apartment,,,199000,Apartment,Installed,,2,Good,,,,4,2
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2020/20223642,2020 Antwerpen,,,,Apartment,,,199000,Apartment,Installed,,2,Good,,,,4,2
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20039882,8400 Oostende,,,,Apartment,,,199000,Apartment,Installed,,,Just renovated,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/11281217,8400 Oostende,No,,,Apartment,,,199000,Apartment,,,,To renovate,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/bredene/8450/20034273,8450 Bredene,,,,Apartment,Yes,,199000,Apartment,Installed,,,Good,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/11344052,8620 Nieuwpoort,,,,Apartment,Yes,,199000,Apartment,,,,Just renovated,,,,,1
