URL,Subtype of property,Number of facades,Number of rooms,Price,Living Area,State of the building,Furnished,Terrace,Open fire,Terrace Area,Surface area of the plot of land,Swimming pool,Garden Area,Surface of the land,Garden,Locality,Type of property,Fully equipped kitchen
https://www.immoweb.be/en/classified/house/for-sale/lierneux/4990/20260111,House,4,3,375000,,Good,,,,63,,,1415,,,4990 Lierneux,House,Installed
https://www.immoweb.be/en/classified/villa/for-sale/braine-le-comte/7090/20280819,Villa,4,4,375000,,Good,No,,,,,,859,,,7090 Braine-le-Comte,Villa,Installed
https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/20219940,House,2,4,400000,,Good,No,,,10,,,145,,,1070 Anderlecht,House,Semi equipped
https://www.immoweb.be/en/classified/chalet/for-sale/tintigny-rossignol/6730/20283746,Chalet,3,4,440000,,As new,,Yes,,,,,,,,6730 Tintigny Rossignol,Chalet,
https://www.immoweb.be/en/classified/house/for-sale/zaventem/1930/20154316,House,3,4,615000,,As new,,,,50,,,150,,,1930 Zaventem,House,Hyper equipped
https://www.immoweb.be/en/classified/chalet/for-sale/arlon-heinsch/6700/20283709,Chalet,3,5,695000,,Good,,,,60,,,1224,,,6700 Arlon Heinsch,Chalet,
https://www.immoweb.be/en/classified/villa/for-sale/laeken/1020/20219788,Villa,4,5,795000,,Good,No,,,30,,,400,,,1020 Laeken,Villa,Installed
https://www.immoweb.be/en/classified/house/for-sale/ottignies/1340/20269178,House,4,5,795000,,As new,No,,,40,,,1900,,,1340 Ottignies,House,Hyper equipped
https://www.immoweb.be/en/classified/exceptional-property/for-sale/ixelles/1050/20277310,Exceptional property,3,5,930000,,To renovate,No,Yes,,,,,480,,,1050 Ixelles,Exceptional property,Installed
https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/20185419,Villa,4,4,1595000,,To renovate,No,,,160,,,2600,,,1180 Uccle,Villa,Not installed
https://www.immoweb.be/en/classified/house/for-sale/deinze/9800/20309795,House,2,3,349001,,As new,No,,,,,,,,,9800 Deinze,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/deinze/9800/20309793,House,2,3,349002,,As new,No,,,,,,,,,9800 Deinze,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/deinze/9800/20309796,House,2,3,374001,,As new,No,,,,,,,,,9800 Deinze,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/deinze/9800/20309800,House,3,3,378001,,As new,No,,,,,,,,,9800 Deinze,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20310335,House,2,3,218000,,As new,No,,,15,,,35,,,4100 Seraing,House,Semi equipped
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20310782,House,2,1,285000,,Just renovated,,,,1square meter,,,,,,9000 Gent,House,Installed
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/rixensart/1330/11226153,Mixed-use building,3,4,299000,,To restore,,,,3,,,795,,,1330 RIXENSART,Mixed-use building,Installed
https://www.immoweb.be/en/classified/apartment-block/for-sale/corroy-le-grand/1325/20121635,Apartment block,4,4,449000,,To be done up,No,,,10,,,160,,,1325 CORROY-LE-GRAND,Apartment block,Semi equipped
https://www.immoweb.be/en/classified/villa/for-sale/geraardsbergen-moerbeke/9500/20303986,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/geraardsbergen-moerbeke/9500/20303985,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/tilleur/4420/20306882,House,2,4,250000,,,,,,41,,,,,,4420 TILLEUR,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20308254,House,2,4,299000,,To renovate,,Yes,,,,,,,,9000 Gent,House,
https://www.immoweb.be/en/classified/house/for-sale/ledeberg/9050/20308257,House,2,4,299000,,To renovate,,Yes,,,,,,,,9050 Ledeberg,House,
https://www.immoweb.be/en/classified/house/for-sale/merksem/2170/20306012,House,2,3,449500,,,,,,,,,,,,2170 MERKSEM,House,Installed
https://www.immoweb.be/en/classified/mansion/for-sale/liege/4000/20308244,Mansion,4,5,485000,,Good,No,Yes,,,,,500,,,4000 Li�ge,Mansion,Installed
https://www.immoweb.be/en/classified/house/for-sale/waregem/8790/20305958,House,,4,875000,,Good,No,,,,,,,,,8790 Waregem,House,Installed
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/deurne/2100/20290244,Mixed-use building,2,2,199000,,Just renovated,,,,,,,,,,2100 DEURNE,Mixed-use building,Installed
https://www.immoweb.be/en/classified/house/for-sale/gent/9040/20289031,House,2,4,295000,,To renovate,,,,18,,,,,,9040 GENT,House,Semi equipped
https://www.immoweb.be/en/classified/house/for-sale/juprelle/4450/20290019,House,3,3,330000,,Good,No,,,53,,,563,,,4450 Juprelle,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/ledeberg/9050/20287022,House,,3,339000,,Just renovated,Yes,,,14,,,,,,9050 Ledeberg,House,
