URL,Terrace Area,Living Area,State of the building,Price,Swimming pool,Type of property,Open fire,Furnished,Terrace,Garden,Number of facades,Number of rooms,Subtype of property,Fully equipped kitchen,Locality,Garden Area,Surface of the land,Surface area of the plot of land
https://www.immoweb.be/en/classified/apartment-block/for-sale/uccle/1180/20179038,,,To renovate,650000,,Apartment block,,No,Yes,,2,5,Apartment block,Installed,1180 Uccle,,,
https://www.immoweb.be/en/classified/villa/for-sale/wemmel/1780/20180724,50,,Good,675000,,Villa,,No,,,4,5,Villa,Hyper equipped,1780 Wemmel,500,,
https://www.immoweb.be/en/classified/town-house/for-sale/woluwe-saint-lambert/1200/20139514,30,,As new,750000,,Town-house,,No,,,2,4,Town-house,,1200 Woluwe-Saint-Lambert,,,
https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20265295,20,,As new,790000,,House,,No,,,2,4,House,Hyper equipped,1150 Woluwe-Saint-Pierre,125,,
https://www.immoweb.be/en/classified/house/for-sale/meise/1860/20239735,30,,As new,797000,,House,,No,,,4,4,House,Hyper equipped,1860 Meise,727,,
https://www.immoweb.be/en/classified/villa/for-sale/grez-doiceau/1390/20281617,72,,Good,895000,,Villa,,No,,,4,6,Villa,Hyper equipped,1390 Grez-doiceau,,,
https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2000/20275760,,,Good,975000,,House,,No,,,2,13,House,Installed,2000 Antwerpen,,,
https://www.immoweb.be/en/classified/villa/for-sale/sint-kruis/8310/20283947,30,,Good,995000,,Villa,,No,,,4,4,Villa,Installed,8310 Sint-Kruis,1144,,
https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2000/20270978,,,Just renovated,1195000,,House,,,Yes,,2,5,House,,2000 Antwerpen,,,
https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2018/20265338,,,Just renovated,1195000,,House,,,Yes,,2,5,House,,2018 Antwerpen,,,
https://www.immoweb.be/en/classified/country-cottage/for-sale/oostkamp/8020/20274035,,,Good,1750000,,Country house,,No,,,4,8,Country house,Installed,8020 Oostkamp,18131,,
https://www.immoweb.be/en/classified/villa/for-sale/schilde/2970/20259058,,,As new,1795000,,Villa,,,,,4,4,Villa,Hyper equipped,2970 Schilde,,,
https://www.immoweb.be/en/classified/house/for-sale/rochefort/5580/20219578,40,,Good,115000,,House,,No,,,2,3,House,Semi equipped,5580 Rochefort,,,
https://www.immoweb.be/en/classified/house/for-sale/diksmuide/8600/20275372,,,Just renovated,235000,,House,,No,Yes,,,3,House,Installed,8600 Diksmuide,,,
https://www.immoweb.be/en/classified/house/for-sale/izegem/8870/20272892,,,Just renovated,295000,,House,,,Yes,,,2,House,Installed,8870 Izegem,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/mechelen/2800/20221901,12,,Good,334900,,Mixed-use building,,No,,,2,3,Mixed-use building,Installed,2800 Mechelen,,,
https://www.immoweb.be/en/classified/house/for-sale/anhee/5537/20231180,12,,As new,385000,,House,,Yes,,,3,4,House,Hyper equipped,5537 AnhÉe,,,
https://www.immoweb.be/en/classified/house/for-sale/merchtem/1785/20183407,,,As new,439000,,House,,,Yes,,4,3,House,,1785 Merchtem,,,
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/20293976,20,,Good,199000,,House,,No,,,3,1,House,,4400 Flémalle,4850,,
https://www.immoweb.be/en/classified/house/for-sale/vilvoorde/1800/20294305,,,,379000,,House,,No,,,2,4,House,Hyper equipped,1800 Vilvoorde,,,
https://www.immoweb.be/en/classified/villa/for-sale/aaigem/9420/20294297,25,,Good,495000,,Villa,,,,,4,4,Villa,,9420 Aaigem,1600,,
https://www.immoweb.be/en/classified/villa/for-sale/heestert/8551/20293966,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/lochristi/9080/20294107,,,As new,795000,,Villa,,,,,4,3,Villa,,9080 Lochristi,,,
https://www.immoweb.be/en/classified/house/for-sale/wellin/6920/20103598,6,,To renovate,99000,,House,,,,,2,3,House,Not installed,6920 WELLIN,,,
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10860840,10,,To be done up,125000,,House,,No,,,2,2,House,Installed,9600 Ronse,,,
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/11373359,,,Just renovated,135000,,House,,No,,,2,2,House,,9600 Ronse,,,
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/11422124,,,Good,149000,,House,,No,,,2,4,House,Installed,4100 Seraing,,,
https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/20115764,,,To renovate,149000,,House,,No,Yes,,2,3,House,Installed,9660 Brakel,230,,
https://www.immoweb.be/en/classified/house/for-sale/flemalle-haute/4400/20163852,10,,To renovate,155000,,House,,,,,2,3,House,Not installed,4400 FLÉMALLE-HAUTE,100,,
https://www.immoweb.be/en/classified/house/for-sale/harelbeke/8530/20223057,,,Good,155000,,House,,,Yes,,2,3,House,,8530 Harelbeke,,,
https://www.immoweb.be/en/classified/house/for-sale/sprimont/4140/20212242,7,,Good,159000,,House,,No,,,3,3,House,Not installed,4140 Sprimont,74,,
https://www.immoweb.be/en/classified/house/for-sale/jumet/6040/11487794,,,To renovate,169000,,House,,,Yes,,2,2,House,Semi equipped,6040 JUMET,,,
https://www.immoweb.be/en/classified/house/for-sale/serskamp/9260/20214991,,,To be done up,169000,,House,,,Yes,,2,3,House,,9260 SERSKAMP,93,,
https://www.immoweb.be/en/classified/house/for-sale/liege/4030/20026338,40,,Good,169500,,House,,No,,,2,2,House,Installed,4030 Liège,,,
https://www.immoweb.be/en/classified/house/for-sale/willebroek/2830/11329527,,,To renovate,170000,,House,,,,,4,2,House,,2830 Willebroek,,,
https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/20063821,,,To be done up,170000,,House,,,,,2,4,House,,8400 Oostende,,,
https://www.immoweb.be/en/classified/house/for-sale/waregem/8790/20157127,,,To renovate,170000,,House,,,Yes,,2,3,House,Semi equipped,8790 Waregem,,,
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10987957,20,,To be done up,175000,,House,,No,,,2,4,House,Semi equipped,9600 Ronse,100,,
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/20044167,,,As new,179000,,House,,No,Yes,,3,3,House,Installed,9500 Geraardsbergen,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/seraing/4101/11398498,,,Just renovated,189000,,Mixed-use building,,No,,,2,3,Mixed-use building,Not installed,4101 Seraing,,,
https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/20043646,8,,Good,199000,,House,,No,,,2,2,House,Hyper equipped,4040 HERSTAL,,,
https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/20117124,34,,Good,199000,,House,,No,,,4,3,House,Installed,4040 Herstal,60,,
https://www.immoweb.be/en/classified/house/for-sale/engis/4480/20227676,108,,Good,199000,,House,,No,,,3,4,House,Installed,4480 Engis,287,,
https://www.immoweb.be/en/classified/house/for-sale/verviers/4800/20097205,27,,Good,199000,,House,,No,,,2,3,House,Installed,4800 Verviers,27,,
https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/10669678,,,Good,200000+1000permonth,,House,,,,,3,3,House,Installed,9860 OOSTERZELE,,,
https://www.immoweb.be/en/classified/house/for-sale/virton/6760/11456666,,,To be done up,202000,,House,,,Yes,,3,3,House,Semi equipped,6760 VIRTON,,,
https://www.immoweb.be/en/classified/house/for-sale/flemalle-haute/4400/11159467,25,,Good,209000,,House,,,,,2,3,House,Semi equipped,4400 FLÉMALLE-HAUTE,140,,
https://www.immoweb.be/en/classified/house/for-sale/braives/4260/20074565,,,To renovate,210000,,House,,No,Yes,,2,4,House,Not installed,4260 Braives,600,,
https://www.immoweb.be/en/classified/house/for-sale/hoegaarden/3320/20203552,,,To renovate,215000,,House,,,,,2,4,House,,3320 Hoegaarden,587,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/herstal/4040/10099145,,,To be done up,219000,,Mixed-use building,,,Yes,,3,2,Mixed-use building,Not installed,4040 Herstal,49,,
https://www.immoweb.be/en/classified/house/for-sale/stabroek/2940/20247422,,,To be done up,225000,,House,,,,,,2,House,Installed,2940 Stabroek,342,,
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/20139007,70,,To be done up,239000,,House,,,,,2,5,House,Semi equipped,4400 FLÉMALLE,,,
https://www.immoweb.be/en/classified/house/for-sale/hamme/9220/20032409,,,Good,239000,,House,,,Yes,,2,2,House,Installed,9220 HAMME,,,
https://www.immoweb.be/en/classified/house/for-sale/chaudfontaine/4051/20088527,,,As new,249000,,House,,No,Yes,,2,3,House,Installed,4051 Chaudfontaine,36,,
https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/20076646,50,,Good,249000,,House,,No,,,4,3,House,Semi equipped,4420 Saint-Nicolas,200,,
https://www.immoweb.be/en/classified/bungalow/for-sale/assesse/5330/20228633,60,,Good,249000,,Bungalow,,No,,,4,3,Bungalow,Semi equipped,5330 ASSESSE,859,,
https://www.immoweb.be/en/classified/house/for-sale/bierghes/1430/20144496,35,,To renovate,250000,,House,,,,,3,3,House,,1430 BIERGHES,,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/bleid/6760/11351918,,,Good,250000,,Apartment block,,,Yes,,3,5,Apartment block,Semi equipped,6760 BLEID,,,
https://www.immoweb.be/en/classified/house/for-sale/edingen/7850/20145907,35,,To renovate,250000,,House,,,,,3,3,House,,7850 EDINGEN,,,
https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/20243862,,,To renovate,258000,,House,,No,Yes,,2,3,House,,9660 Brakel,,,
https://www.immoweb.be/en/classified/house/for-sale/zwalm/9630/20245906,,,To renovate,260000,,House,,No,,,,3,House,Installed,9630 Zwalm,,,
https://www.immoweb.be/en/classified/house/for-sale/borgerhout/2140/20182586,,,To be done up,269900,,House,,,,,2,4,House,Installed,2140 BORGERHOUT,5,,
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20201950,,,Good,270000,,House,,No,,,2,1,House,Installed,9000 Gent,,,
https://www.immoweb.be/en/classified/house/for-sale/affligem/1790/20209147,30,,To renovate,274000,,House,,No,,,4,2,House,Installed,1790 Affligem,500,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/huy/4500/11364512,8,,Good,279000,,Mixed-use building,,,,,2,3,Mixed-use building,Semi equipped,4500 HUY,189,,
https://www.immoweb.be/en/classified/house/for-sale/scheldewindeke/9860/20247849,,,Good,279000,,House,,No,,,,3,House,Hyper equipped,9860 Scheldewindeke,24,,
https://www.immoweb.be/en/classified/house/for-sale/ertvelde/9940/20096075,,,Good,287000,,House,,No,Yes,,,3,House,,9940 Ertvelde,189,,
https://www.immoweb.be/en/classified/house/for-sale/braine-lalleud/1420/20040484,,,Good,295000,,House,,,Yes,,2,3,House,Installed,1420 BRAINE-L'ALLEUD,,,
https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/20246192,,,Good,295000,,House,,,,,2,3,House,USA installed,2660 HOBOKEN,28,,
https://www.immoweb.be/en/classified/house/for-sale/awans/4340/11420398,,,Good,295000,,House,,No,Yes,,3,3,House,Installed,4340 Awans,1000,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/saint-nicolas-montegnee/4420/20030045,30,,To be done up,295000,,Mixed-use building,,No,,,2,6,Mixed-use building,Semi equipped,4420 Saint-Nicolas Montegnée,100,,
https://www.immoweb.be/en/classified/house/for-sale/vilvoorde/1800/11085913,6,,Good,299000,,House,,No,,,2,3,House,Hyper equipped,1800 Vilvoorde,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/lanaken/3620/11427879,25,,To be done up,299000,,Mixed-use building,,,,,,3,Mixed-use building,,3620 Lanaken,,,
https://www.immoweb.be/en/classified/house/for-sale/liege/4020/20051062,,,Good,299000,,House,,No,Yes,,3,2,House,Installed,4020 Liège,350,,
https://www.immoweb.be/en/classified/house/for-sale/ingelmunster/8770/20176277,,,To be done up,309000,,House,,No,Yes,,,2,House,,8770 Ingelmunster,,,
https://www.immoweb.be/en/classified/house/for-sale/wanze/4520/20112410,50,,To be done up,315000,,House,,No,,,3,3,House,Installed,4520 Wanze,4077,,
https://www.immoweb.be/en/classified/house/for-sale/puurs-sint-amands/2890/20154805,,,To renovate,318000,,House,,,Yes,,3,4,House,Installed,2890 PUURS-SINT-AMANDS,,,
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/11335904,30,,Just renovated,320000,,House,,,,,3,4,House,Installed,4400 FLÉMALLE,435,,
https://www.immoweb.be/en/classified/house/for-sale/xhendremael/4432/11004073,,,To be done up,320000,,House,,,,,3,3,House,Semi equipped,4432 Xhendremael,588,,
https://www.immoweb.be/en/classified/villa/for-sale/limelette/1342/20189148,28,,To be done up,325000,,Villa,,,,,4,2,Villa,Semi equipped,1342 Limelette,583,,
https://www.immoweb.be/en/classified/house/for-sale/meise/1861/20231409,,,Good,325000,,House,,,,,3,2,House,,1861 Meise,,,
https://www.immoweb.be/en/classified/house/for-sale/otegem/8553/11122343,,,To renovate,325000,,House,,No,Yes,,4,4,House,,8553 Otegem,,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/oudenaarde/9700/11026333,,,Good,325000,,Apartment block,,No,Yes,,3,3,Apartment block,,9700 Oudenaarde,,,
https://www.immoweb.be/en/classified/house/for-sale/on/6900/11155034,29,,Good,329000,,House,,,,,4,4,House,Installed,6900 On,964,,
https://www.immoweb.be/en/classified/house/for-sale/hotton/6990/20167288,50,,Good,329000,,House,,No,,,4,5,House,Installed,6990 Hotton,1895,,
https://www.immoweb.be/en/classified/house/for-sale/wachtebeke/9185/11386266,15,,Good,329000,,House,,No,,,2,3,House,Installed,9185 Wachtebeke,179,,
https://www.immoweb.be/en/classified/house/for-sale/oostakker/9041/20237966,,,To renovate,330000,,House,,,,,2,3,House,,9041 OOSTAKKER,,,
https://www.immoweb.be/en/classified/house/for-sale/herdersem/9310/20247736,,,Good,330000,,House,,,Yes,,2,3,House,,9310 Herdersem,,,
https://www.immoweb.be/en/classified/house/for-sale/hoevenen/2940/20033927,,,Good,339000,,House,,,,,,4,House,Installed,2940 Hoevenen,340,,
https://www.immoweb.be/en/classified/house/for-sale/milmort/4041/20205568,50,,Good,349000,,House,,No,,,4,4,House,Installed,4041 Milmort,520,,
https://www.immoweb.be/en/classified/house/for-sale/stoumont/4983/20156825,7,,Good,350000,,House,,No,,,4,3,House,Installed,4983 STOUMONT,,,
https://www.immoweb.be/en/classified/house/for-sale/stockem/6700/11420686,,,Good,350000,,House,,No,Yes,,4,3,House,Installed,6700 Stockem,880,,
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/11203049,50,,Good,359500,,House,,,,,4,3,House,Hyper equipped,9600 Ronse,300,,
https://www.immoweb.be/en/classified/house/for-sale/stabroek/2940/20124799,,,To be done up,360000,,House,,,,,,5,House,Installed,2940 Stabroek,620,,
https://www.immoweb.be/en/classified/house/for-sale/ferrieres/4190/20084829,40,,Good,360000,,House,,No,,,4,4,House,Installed,4190 Ferrières,455,,
https://www.immoweb.be/en/classified/house/for-sale/boom/2850/20203837,,,To be done up,361900,,House,,No,Yes,,2,4,House,Installed,2850 Boom,270,,
https://www.immoweb.be/en/classified/house/for-sale/haacht/3150/20234451,,,Good,365000,,House,,,Yes,,2,4,House,Semi equipped,3150 HAACHT,635,,
https://www.immoweb.be/en/classified/house/for-sale/merksem/2170/20060135,16,,Good,369000,,House,,,,,2,3,House,USA installed,2170 Merksem,69,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/willebroek/2830/20240088,,,Good,369000,,Mixed-use building,,,,,,3,Mixed-use building,Installed,2830 Willebroek,,,
https://www.immoweb.be/en/classified/house/for-sale/virton/6760/20008603,,,Good,370000,,House,,,Yes,,2,4,House,Installed,6760 VIRTON,,,
https://www.immoweb.be/en/classified/house/for-sale/beveren/9130/20243606,68,,Just renovated,375000,,House,,,,,4,2,House,Installed,9130 BEVEREN,200,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/antwerpen/2140/20219399,,,To renovate,379000,,Apartment block,,,,,3,5,Apartment block,,2140 Antwerpen,50,,
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20226643,,,Good,379000,,House,,,,,2,3,House,Installed,2800 MECHELEN,16,,
https://www.immoweb.be/en/classified/house/for-sale/kruisem/9770/20115645,,,To renovate,389000,,House,,No,Yes,,3,4,House,Installed,9770 Kruisem,534,,
https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/11457224,9,,Good,395000,,House,,No,,,2,5,House,Hyper equipped,1030 Schaerbeek,38,,
https://www.immoweb.be/en/classified/villa/for-sale/puurs-sint-amands/2870/20233802,,,To renovate,395000,,Villa,,,,,4,3,Villa,Installed,2870 PUURS-SINT-AMANDS,,,
https://www.immoweb.be/en/classified/house/for-sale/erpe-mere/9420/20219500,13,,As new,395500,,House,,No,,,2,3,House,Hyper equipped,9420 Erpe-Mere,62,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/tielt/8700/20225968,,,Good,397000,,Mixed-use building,,,,,3,3,Mixed-use building,Installed,8700 Tielt,,,
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20242743,,,To renovate,399000,,House,,,,,,3,House,Installed,2800 Mechelen,400,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/herstal/4040/11174405,,,Good,399000,,Mixed-use building,,Yes,Yes,,2,2,Mixed-use building,Installed,4040 Herstal,101,,
https://www.immoweb.be/en/classified/house/for-sale/hotton/6990/11139704,42,,As new,399000,,House,,No,,,4,5,House,Installed,6990 Hotton,902,,
https://www.immoweb.be/en/classified/house/for-sale/hotton/6990/11139705,42,,As new,399000,,House,,No,,,4,5,House,Installed,6990 Hotton,902,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/oosterzele/9860/20130990,,,Good,399000,,Mixed-use building,,,,,3,3,Mixed-use building,Installed,9860 OOSTERZELE,,,
https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/20131024,,,Good,399000,,House,,,,,3,3,House,Installed,9860 OOSTERZELE,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/antwerpen-merksem/2170/11128275,,,Good,399900,,Mixed-use building,,No,,,2,3,Mixed-use building,Installed,2170 Antwerpen Merksem,,,
https://www.immoweb.be/en/classified/house/for-sale/wellin/6920/20035696,36,,As new,419000,,House,,,,,4,5,House,Installed,6920 WELLIN,,,
https://www.immoweb.be/en/classified/house/for-sale/laarne/9270/11373686,,,To be done up,419000,,House,,,Yes,,4,4,House,Installed,9270 Laarne,1200,,
https://www.immoweb.be/en/classified/house/for-sale/varsenare/8490/20189526,,,To be done up,429000,,House,,,Yes,,3,3,House,Semi equipped,8490 VARSENARE,,,
https://www.immoweb.be/en/classified/bungalow/for-sale/rhode-saint-genese-sint-genesius-rode/1640/20023826,15,,To be done up,439000,,Bungalow,,No,,,4,3,Bungalow,Semi equipped,1640 Rhode-Saint-Genèse - Sint-Genesius-Rode,450,,
https://www.immoweb.be/en/classified/house/for-sale/paliseul/6850/20190847,60,,As new,445000,,House,,No,,,4,2,House,Hyper equipped,6850 Paliseul,790,,
https://www.immoweb.be/en/classified/house/for-sale/destelbergen/9070/20036160,,,Just renovated,445000,,House,,,,,2,4,House,,9070 DESTELBERGEN,,,
https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/11410433,,,To renovate,445000,,House,,No,Yes,,4,2,House,,9860 Oosterzele,,,
https://www.immoweb.be/en/classified/house/for-sale/moen/8552/20190726,,,Good,449500,,House,,,,,,3,House,Installed,8552 Moen,898,,
https://www.immoweb.be/en/classified/house/for-sale/boom/2850/20186737,45,,To renovate,465000,,House,,,,,,4,House,Not installed,2850 BOOM,290,,
https://www.immoweb.be/en/classified/house/for-sale/neufchateau/6840/20200569,,,As new,465000,,House,,,Yes,,4,4,House,Installed,6840 Neufchâteau,,,
https://www.immoweb.be/en/classified/villa/for-sale/court-saint-etienne/1490/20113073,20,,Good,475000,,Villa,,,,,4,4,Villa,,1490 COURT-SAINT-ETIENNE,1130,,
https://www.immoweb.be/en/classified/house/for-sale/nazareth/9810/20114371,20,,Good,479000,,House,,No,,,,3,House,,9810 Nazareth,728,,
https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/20095400,16,,To renovate,485000,,House,,,,,2,5,House,Semi equipped,1070 ANDERLECHT,160,,
https://www.immoweb.be/en/classified/house/for-sale/jette/1090/11381989,20,,Good,525000,,House,,,,,2,3,House,Hyper equipped,1090 Jette,90,,
https://www.immoweb.be/en/classified/house/for-sale/incourt/1315/20097663,40,,To be done up,525000,,House,,,,,4,4,House,,1315 INCOURT,,,
https://www.immoweb.be/en/classified/house/for-sale/genval/1332/20135949,18,,Good,525000,,House,,No,,,3,3,House,Installed,1332 Genval,397,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/anseroeul/7750/11489523,,,Good,525000,,Mixed-use building,,No,Yes,,4,4,Mixed-use building,,7750 Anseroeul,,,
https://www.immoweb.be/en/classified/villa/for-sale/bredene/8450/20096226,32,,Good,525000,,Villa,,,,,,4,Villa,Installed,8450 Bredene,,,
https://www.immoweb.be/en/classified/house/for-sale/liege/4020/11464479,28,,Good,545000,,House,,,,,2,7,House,Hyper equipped,4020 LIÈGE,120,,
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20005115,32,,As new,547000,,House,,No,,,,4,House,,9000 Gent,400,,
https://www.immoweb.be/en/classified/house/for-sale/hoevenen/2940/20211041,,,Good,549000,,House,,,,,,3,House,Installed,2940 Hoevenen,702,,
https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20081687,,,Good,550000,,House,,No,,,2,5,House,Hyper equipped,1180 Uccle,25,,
https://www.immoweb.be/en/classified/villa/for-sale/ronse/9600/20212677,,,To be done up,555000,,Villa,,,Yes,,4,4,Villa,Semi equipped,9600 RONSE,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/mortsel/2640/11471294,,,Good,569900,,Mixed-use building,,No,,,2,4,Mixed-use building,Installed,2640 Mortsel,140,,
https://www.immoweb.be/en/classified/house/for-sale/turnhout/2300/11405544,30,,Good,595000,,House,,,,,2,8,House,Installed,2300 TURNHOUT,210,,
https://www.immoweb.be/en/classified/house/for-sale/overijse/3090/11404876,,,To be done up,595000,,House,,,Yes,,4,4,House,Semi equipped,3090 Overijse,500,,
https://www.immoweb.be/en/classified/house/for-sale/malmedy/4960/20128624,50,,Good,595000,,House,,,,,3,7,House,Installed,4960 Malmedy,2442,,
https://www.immoweb.be/en/classified/house/for-sale/middelkerke/8430/20165735,,,Good,595000,,House,,,Yes,,,3,House,Installed,8430 Middelkerke,,,
https://www.immoweb.be/en/classified/house/for-sale/auderghem-oudergem/1160/20206156,,,Good,599000,,House,,,,,3,3,House,USA installed,1160 Auderghem - Oudergem,200,,
https://www.immoweb.be/en/classified/house/for-sale/laeken/1020/11320710,8,,Good,649000,,House,,No,,,3,4,House,Installed,1020 Laeken,140,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/antwerpen/2060/20217617,,,As new,679000,,Apartment block,,,,,3,4,Apartment block,Installed,2060 ANTWERPEN,,,
https://www.immoweb.be/en/classified/villa/for-sale/puurs-sint-amands/2890/20195494,,,Good,715000,,Villa,,,Yes,,4,4,Villa,Installed,2890 PUURS-SINT-AMANDS,,,
https://www.immoweb.be/en/classified/house/for-sale/evergem/9940/20218207,,,To renovate,720000,,House,,,Yes,,,5,House,,9940 Evergem,,,
https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20156632,,,Good,745000,,House,,No,Yes,,3,3,House,Not installed,1150 Woluwe-Saint-Pierre,200,,
https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/20209327,15,,As new,745000,,House,,No,,,2,4,House,Installed,1950 Kraainem,150,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/kontich/2550/20242587,10,,Just renovated,750000,,Apartment block,,,,,2,6,Apartment block,Installed,2550 KONTICH,,,
https://www.immoweb.be/en/classified/mansion/for-sale/vise/4601/20068351,,,Good,750000,,Mansion,,No,Yes,,4,8,Mansion,Installed,4601 Visé,4978,,
https://www.immoweb.be/en/classified/villa/for-sale/waregem/8790/20243425,,,To be done up,790000,,Villa,,,Yes,,4,4,Villa,,8790 WAREGEM,,,
https://www.immoweb.be/en/classified/villa/for-sale/wortegem/9790/20232098,,,To be done up,790000,,Villa,,,Yes,,4,4,Villa,,9790 WORTEGEM,,,
https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/11184064,20,,To renovate,795000,,House,,No,,,2,5,House,Not installed,1040 Etterbeek,80,,
https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/20016448,35,,To renovate,795000,,House,,No,,,4,4,House,Hyper equipped,1970 Wezembeek-Oppem,440,,
https://www.immoweb.be/en/classified/villa/for-sale/aalst/9308/20149423,215,,Good,830000,,Villa,,No,,,4,6,Villa,Hyper equipped,9308 Aalst,4162,,
https://www.immoweb.be/en/classified/villa/for-sale/humbeek/1851/20142675,,,Good,845000,,Villa,,,,,4,3,Villa,Installed,1851 HUMBEEK,,,
https://www.immoweb.be/en/classified/villa/for-sale/hamont-achel/3930/20210868,,,As new,850000,,Villa,,,Yes,,4,4,Villa,,3930 Hamont-Achel,,,
https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20218455,20,,As new,895000,,House,,No,,,3,4,House,Hyper equipped,1150 Woluwe-Saint-Pierre,150,,
https://www.immoweb.be/en/classified/house/for-sale/grembergen/9200/20183886,155,,Good,895000,,House,,No,,,,3,House,Hyper equipped,9200 Grembergen,,,
https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/11021515,30,,Just renovated,900000,,House,,No,,,2,9,House,Hyper equipped,1070 Anderlecht,60,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/etterbeek/1040/11417633,,,Just renovated,950000,,Mixed-use building,,No,Yes,,2,4,Mixed-use building,Installed,1040 Etterbeek,83,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/ethe/6760/20022127,,,Good,950000,,Apartment block,,,,,4,8,Apartment block,Semi equipped,6760 ETHE,900,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/ixelles/1050/20067606,,,To be done up,1050000,,Apartment block,,No,,,2,6,Apartment block,Installed,1050 Ixelles,,,
https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/20067581,,,To be done up,1050000,,House,,No,,,2,6,House,Installed,1050 Ixelles,,,
https://www.immoweb.be/en/classified/villa/for-sale/woluwe-saint-pierre/1150/20104083,12,,As new,1050000,,Villa,,No,,,4,4,Villa,Hyper equipped,1150 Woluwe-Saint-Pierre,300,,
https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/11284508,36,,As new,1195000,,House,,No,,,3,5,House,Installed,1950 Kraainem,200,,
https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/20237592,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/20181126,,,As new,1195000,,House,,,,,4,3,House,Hyper equipped,9300 AALST,,,
https://www.immoweb.be/en/classified/house/for-sale/sint-pieters-leeuw-vlezenbeek/1602/11211836,100,,Just renovated,1200000,,House,,No,,,3,12,House,Hyper equipped,1602 Sint-Pieters-Leeuw Vlezenbeek,800,,
https://www.immoweb.be/en/classified/villa/for-sale/meise/1860/20226822,40,,As new,1250000,,Villa,,,,,4,3,Villa,USA installed,1860 Meise,1square meter,,
https://www.immoweb.be/en/classified/other-property/for-sale/sint-pauwels/9170/20116420,,,Good,1275000,,Other properties,,,,,4,,Other properties,Installed,9170 SINT-PAUWELS,,,
