URL,Locality,Type of property,Furnished,Number of rooms,Fully equipped kitchen,Living Area,Open fire,Terrace Area,Surface of the land,Surface area of the plot of land,Terrace,Swimming pool,Subtype of property,Price,Number of facades,Garden,State of the building,Garden Area
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20313620,9000 Gent,Apartment,No,2,Hyper equipped,,,16,,,,,Apartment,390000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20314623,9051 Sint-Denijs-Westrem,Apartment,No,2,Hyper equipped,,,16,,,,,Apartment,390000,,,Good,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/anderlecht/1070/20299204,1070 Anderlecht,City-Dox - Park Side,,,,,,,,,,,City-Dox - Park Side,335000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/brussel/1000/20296211,1000 Brussel,Tour & Taxis Park Lane Karson,,,,,,,,,,,Tour & Taxis Park Lane Karson,From355000To374000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/braine-lalleud/1420/20298376,1420 Braine-l'Alleud,Terra Nostra M-N,,,,,,,,,,,Terra Nostra M-N,From395000To625000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/ukkel/1180/20299095,1180 Ukkel,Residentie Renata,,,,,,,,,,,Residentie Renata,From690480To974800,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/20305105,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/20302613,3500 Hasselt,Apartment,,1,,,,15,,,,,Apartment,249000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20303198,1200 Woluwe-Saint-Lambert,Apartment,No,2,Hyper equipped,,,6,,,,,Apartment,430000,2,,As new,
https://www.immoweb.be/en/classified/penthouse/for-sale/berlare/9290/20305455,9290 BERLARE,Penthouse,,2,Installed,,,106,,,,,Penthouse,1325000,4,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20309333,8400 Oostende,Apartment,,3,,,,6,,,,,Apartment,429000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20309748,9000 Gent,Apartment,,2,,,,10,,,,,Apartment,445000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/laeken/1020/20300918,1020 Laeken,Apartment,No,2,Installed,,,8,,,,,Apartment,249000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-pieters-leeuw/1600/20300040,1600 Sint-Pieters-Leeuw,Apartment,No,2,Installed,,,18,,,,,Apartment,335000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/jauche/1350/20314871,1350 Jauche,Apartment,No,2,Installed,,,15,,,,,Apartment,179000,2,,To be done up,5
https://www.immoweb.be/en/classified/apartment/for-sale/jodoigne/1370/20314875,1370 Jodoigne,Apartment,No,2,Installed,,,15,,,,,Apartment,179000,2,,To be done up,5
https://www.immoweb.be/en/classified/apartment/for-sale/oostkamp/8020/20312185,8020 Oostkamp,Apartment,No,1,Installed,,,,,,,,Apartment,195000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/evergem/9940/20314855,9940 Evergem,Apartment,,3,,,,,,,,,Apartment,215000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20314859,9000 Gent,Apartment,,1,Installed,,,,,,,,Apartment,232000,,,Just renovated,
https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1020/20315149,1020 Bruxelles,Penthouse,No,2,Not installed,,,,,,,,Penthouse,239000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/20313522,8620 Nieuwpoort,Apartment,Yes,1,Installed,,,,,,Yes,,Apartment,295000,,,Good,
https://www.immoweb.be/en/classified/loft/for-sale/diksmuide/8600/20316620,8600 Diksmuide,Loft,No,2,Installed,,,,,,Yes,,Loft,299000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20316713,9000 Gent,Apartment,No,3,,,,7,,,,,Apartment,365000,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/20296739,2800 MECHELEN,Apartment,,2,Installed,,,7,,,,,Apartment,299500,2,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/20296738,2800 MECHELEN,Apartment,,2,Installed,,,7,,,,,Apartment,299500,2,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/20296737,2800 MECHELEN,Apartment,,2,Installed,,,7,,,,,Apartment,305000,2,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/kruibeke/9150/20306551,9150 Kruibeke,Apartment,,3,,,,,,,Yes,,Apartment,305000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/20308016,3000 Leuven,Apartment,,1,,,,14,,,,,Apartment,349000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20306566,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/soignies/7060/20316765,7060 SOIGNIES,Apartment,,2,Installed,,,12,,,,,Apartment,249000,4,,,
https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/20314964,8800 Roeselare,Apartment,,3,,,,5,,,,,Apartment,325000,,,Good,29
https://www.immoweb.be/en/classified/apartment/for-sale/haaltert/9450/20311717,9450 HAALTERT,Apartment,,2,Installed,,,63,,,,,Apartment,225000,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/saint-josse-ten-noode/1210/20311737,1210 Saint-josse-ten-noode,Apartment,No,2,Hyper equipped,,,,,,,,Apartment,265000,3,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/beernem/8730/20310345,8730 Beernem,Apartment,,3,,,,,,,,,Apartment,349000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20311722,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20313017,1180 Uccle,Apartment,No,3,Hyper equipped,,,28,,,,,Apartment,799000,2,,As new,90
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20314259,8300 Knokke-Heist,Apartment,No,3,Hyper equipped,,,37,,,,,Apartment,2975000,2,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/dendermonde/9200/20308719,9200 DENDERMONDE,Apartment,,1,Installed,,,,,,,,Apartment,169900,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20301360,2100 DEURNE,Apartment,,2,Installed,,,,,,,,Apartment,179000,2,,To be done up,
https://www.immoweb.be/en/classified/apartment/for-sale/walem/2800/20295309,2800 WALEM,Apartment,,2,Installed,,,12,,,,,Apartment,245000,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2140/20295694,2140 ANTWERPEN,Apartment,,2,Installed,,,,,,,,Apartment,269900,2,,Good,33
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20298088,2600 BERCHEM,Apartment,,2,Semi equipped,,,16,,,,,Apartment,205000,,,To be done up,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20304421,1080 MOLENBEEK-SAINT-JEAN,Apartment,,2,Installed,,,19,,,,,Apartment,275000,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20304291,1070 Anderlecht,Apartment,No,2,Installed,,,,,,Yes,,Apartment,285000,,,Good,100
https://www.immoweb.be/en/classified/apartment/for-sale/kapelle-op-den-bos/1880/20304855,1880 KAPELLE-OP-DEN-BOS,Apartment,,2,Installed,,,6,,,,,Apartment,317500,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20300781,1000 Brussel,Apartment,No,2,Semi equipped,,,3,,,,,Apartment,345000,2,,Good,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/ixelles/1050/20294857,1050 Ixelles,"""The Crown""",,,,,,,,,,,"""The Crown""",From180340To191240,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/lede/9340/20294828,,ResidentieMagnolia,,,,,,,,,,,ResidentieMagnolia,From182000To390000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/kinrooi/3640/20296259,3640 KINROOI,Residentie Initium,,,,,,,,,,,Residentie Initium,From212000To325000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9000/20293759,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent-sint-denijs-westrem/9051/20293768,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent-sint-denijs-westrem/9051/20293757,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/brussel/1000/20296218,1000 Brussel,Citywalk,,,,,,,,,,,Citywalk,From260000To425000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9051/20293765,9051 Gent,Marjolein,,,,,,,,,,,Marjolein,From260000To360000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9051/20293756,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gavere/9890/20293697,9890 Gavere,Gaverling - Gavere,,,,,,,,,,,Gaverling - Gavere,From273700To447375,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9000/20293745,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gavere/9890/20293641,9890 Gavere,Gaverling Gebouw D,,,,,,,,,,,Gaverling Gebouw D,From290325To447375,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/auderghem/1160/20294311,1160 Auderghem,SOUVERAIN - ANTHEA,,,,,,,,,,,SOUVERAIN - ANTHEA,From315000To1695000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9000/20293746,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/aalst/9300/20294827,,Residentie La Tourbière,,,,,,,,,,,Residentie La Tourbière,From346000To490000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/brussel/1000/20296198,1000 Brussel,Tour & Taxis Park lane Oakland,,,,,,,,,,,Tour & Taxis Park lane Oakland,380000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/aalst/9300/20294831,,The Green,,,,,,,,,,,The Green,From395000To685000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/brussel/1000/20296186,1000 Brussel,Tour en Taxis Park lane Scarlet,,,,,,,,,,,Tour en Taxis Park lane Scarlet,From407000To432000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/brussel/1000/20296223,1000 Brussel,Utopia,,,,,,,,,,,Utopia,410000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/brussel/1000/20296195,1000 Brussel,Tour & Taxis Park lane Quincy,,,,,,,,,,,Tour & Taxis Park lane Quincy,From416000To444000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9000/20293787,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20309181,8400 Oostende,Apartment,No,2,,,,,,,Yes,,Apartment,279000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/wenduine/8420/20309341,8420 Wenduine,Apartment,No,2,Installed,,,,,,Yes,,Apartment,279000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/hingene/2880/20300094,2880 Hingene,Apartment,,3,,,,6,,,,,Apartment,374000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20316568,8400 Oostende,Apartment,,2,,,,,,,Yes,,Apartment,119000,,,To restore,
https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/20316850,8500 KORTRIJK,Apartment,,2,Semi equipped,,,5,,,,,Apartment,165000,,,Good,
https://www.immoweb.be/en/classified/ground-floor/for-sale/berchem/2600/20316597,2600 BERCHEM,Ground floor,,2,Semi equipped,,,,,,,,Ground floor,169500,,,To be done up,
https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/20316843,9700 OUDENAARDE,Apartment,,2,Installed,,,,,,,,Apartment,245000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20316854,1140 Evere,Apartment,No,2,Not installed,,,,,,Yes,,Apartment,298000,3,,Just renovated,
https://www.immoweb.be/en/classified/penthouse/for-sale/laeken/1020/20316056,1020 Laeken,Penthouse,No,2,Installed,,,30,,,,,Penthouse,300000,2,,As new,
https://www.immoweb.be/en/classified/duplex/for-sale/mortsel/2640/20316934,2640 MORTSEL,Duplex,,2,,,,22,,,,,Duplex,335000,3,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/20316963,8430 MIDDELKERKE,Apartment,Yes,2,Semi equipped,,,,,,Yes,,Apartment,360000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-niklaas/9100/20308654,9100 Sint-Niklaas,Apartment,,1,,,,12,,,,,Apartment,269000,,,Good,
https://www.immoweb.be/en/classified/penthouse/for-sale/antwerpen-2000/2000/20307383,2000 Antwerpen (2000),Penthouse,No,1,Installed,,,23,,,,,Penthouse,495000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20308672,9000 Gent,Apartment,,2,,,,17,,,,,Apartment,985000,,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20299046,8370 BLANKENBERGE,Apartment,,1,Installed,,,,,,Yes,,Apartment,199000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20297717,1180 Uccle,Apartment,No,1,Installed,,,,,,,,Apartment,235000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/ronse/9600/20300333,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/antwerpen-2018/2018/20299080,2018 ANTWERPEN 2018,Penthouse,,3,Hyper equipped,,,,,,,,Penthouse,685000,,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/laeken/1020/20313701,1020 Laeken,Apartment,No,3,Not installed,,,17,,,,,Apartment,220000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/blaton/7321/20314035,7321 BLATON,Apartment,,3,Hyper equipped,,,,,,Yes,,Apartment,220000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/enghien/7850/20312490,7850 ENGHIEN,Apartment,,2,,,,25,,,,,Apartment,275000,3,,,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20313790,1050 IXELLES,Apartment,,1,Not installed,,,20,,,,,Apartment,345000,2,,Just renovated,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/kapellen/2950/20315476,2950 KAPELLEN,Poort Ertbrand,,,,,,,,,,,Poort Ertbrand,From279500To550000,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/eeklo/9900/20304708,9900 Eeklo,Apartment,,2,Installed,,,,,,Yes,,Apartment,185000,,,Good,
https://www.immoweb.be/en/classified/duplex/for-sale/deurne/2100/20308128,2100 DEURNE,Duplex,,2,Installed,,,17,,,,,Duplex,325000,2,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20300739,2100 DEURNE,Apartment,,2,Installed,,,17,,,,,Apartment,325000,2,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20295671,1200 Woluwe-Saint-Lambert,Apartment,No,2,Hyper equipped,,,8,,,,,Apartment,335000,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20295069,1180 Uccle,Apartment,No,3,Installed,,,6,,,,,Apartment,385000,2,,Good,
https://www.immoweb.be/en/classified/duplex/for-sale/uccle/1180/20295033,1180 Uccle,Duplex,No,3,Installed,,,27,,,,,Duplex,499000,2,,Good,
https://www.immoweb.be/en/classified/ground-floor/for-sale/forest/1190/20295364,1190 Forest,Ground floor,No,2,,,,50,,,,,Ground floor,600000,,,As new,300
https://www.immoweb.be/en/classified/duplex/for-sale/anderlecht/1070/20310576,1070 Anderlecht,Duplex,No,2,Installed,,,15,,,,,Duplex,328000,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/anzegem/8570/20305152,8570 ANZEGEM,Apartment,,2,Installed,,,,,,Yes,,Apartment,165000,4,,Good,
https://www.immoweb.be/en/classified/duplex/for-sale/woluwe-saint-lambert/1200/20310259,1200 Woluwe-Saint-Lambert,Duplex,No,3,Hyper equipped,,,,,,,,Duplex,449000,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/merelbeke/9820/20309482,9820 Merelbeke,Apartment,No,2,Hyper equipped,,,,,,,,Apartment,619000,,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/nivelles/1400/20301424,1400 Nivelles,Apartment,No,2,Not installed,,,9,,,,,Apartment,259000,,,To be done up,
https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/20302440,1040 Etterbeek,Apartment,No,2,Semi equipped,,,3,,,,,Apartment,345000,2,,Good,
https://www.immoweb.be/en/classified/penthouse/for-sale/antwerpen/2000/20301577,2000 ANTWERPEN,Penthouse,,2,Installed,,,50,,,,,Penthouse,399000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20301303,1150 Woluwe-Saint-Pierre,Apartment,No,3,Installed,,,26,,,,,Apartment,495000,,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20302021,1000 BRUSSEL,Apartment,,2,Installed,,,60,,,,,Apartment,645000,,,Just renovated,
https://www.immoweb.be/en/classified/penthouse/for-sale/brussel/1000/20302020,1000 BRUSSEL,Penthouse,,2,Installed,,,60,,,,,Penthouse,645000,,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/20316113,1060 Saint-Gilles,Apartment,No,1,Not installed,,,,,,,,Apartment,199000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/laeken/1020/20316057,1020 Laeken,Apartment,No,2,Not installed,,,3,,,,,Apartment,225000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/beveren-waas/9120/20315257,9120 Beveren-Waas,Apartment,,2,Hyper equipped,,,,,,,,Apartment,249000,2,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/herzele/9550/20315877,9550 Herzele,Apartment,No,2,Installed,,,20,,,,,Apartment,259000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/20315287,1081 Koekelberg,Apartment,,2,,,,,,,,,Apartment,279000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20313510,8370 Blankenberge,Apartment,,3,,,,,,,,,Apartment,469000,,,Just renovated,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/chiny-jamoigne/6810/20293608,6810 Chiny Jamoigne,Résidence Cordonnerie,,,,,,,,,,,Résidence Cordonnerie,From159000To225000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent-zwijnaarde/9052/20293619,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/ruisbroek-2870/2870/20308012,2870 Ruisbroek (2870),Apartment,,1,,,,,,,,,Apartment,189000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/bonheiden/2820/20308998,2820 Bonheiden,Apartment,,1,,,,,,,Yes,,Apartment,325000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/borsbeek/2150/20296905,2150 Borsbeek,Apartment,,2,Installed,,,1square meter,,,,,Apartment,209000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/wommelgem/2160/20296903,2160 Wommelgem,Apartment,,2,Installed,,,1square meter,,,,,Apartment,209000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/wetteren/9230/20297492,9230 WETTEREN,Apartment,,2,Installed,,,9,,,,,Apartment,249000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/20297124,2640 Mortsel,Apartment,No,3,,,,9,,,,,Apartment,369000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/20298089,2000 ANTWERPEN 2000,Apartment,,3,Hyper equipped,,,15,,,,,Apartment,549500,,,Just renovated,
https://www.immoweb.be/en/classified/penthouse/for-sale/antwerpen-2000/2000/20298087,2000 ANTWERPEN 2000,Penthouse,,3,Hyper equipped,,,15,,,,,Penthouse,549500,,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/20313041,6700 ARLON,Apartment,,1,Installed,,,8,,,,,Apartment,200000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/herenthout/2270/20314504,2270 HERENTHOUT,Apartment,,2,Installed,,,13,,,,,Apartment,299000,3,,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20311117,9000 Gent,Apartment,,1,,,,,,,Yes,,Apartment,398000,,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/20313003,8620 NIEUWPOORT,Apartment,Yes,2,Installed,,,,,,Yes,,Apartment,430000,4,,,
https://www.immoweb.be/en/classified/flat-studio/for-sale/blankenberge/8370/20303187,8370 Blankenberge,Flat studio,Yes,,,,,,,,Yes,,Flat studio,157500,,,To be done up,
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20308055,1070 Anderlecht,Apartment,No,3,Not installed,,,20,,,,,Apartment,265000,4,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20295113,1190 Forest,Apartment,No,1,Not installed,,,6,,,,,Apartment,169000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20295110,1190 Forest,Apartment,No,1,Not installed,,,6,,,,,Apartment,169000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9300/20294422,9300 AALST,Apartment,,1,Installed,,,,,,Yes,,Apartment,179000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20295079,1000 Bruxelles,Apartment,No,2,Not installed,,,,,,,,Apartment,259000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20295081,1000 Bruxelles,Apartment,No,2,Not installed,,,,,,,,Apartment,265000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20295077,1000 Bruxelles,Apartment,No,2,Not installed,,,,,,,,Apartment,265000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20295034,1180 Uccle,Apartment,No,2,Semi equipped,,,23,,,,,Apartment,295000,3,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20295103,1000 Bruxelles,Apartment,No,3,Not installed,,,,,,,,Apartment,299000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20295074,1000 Bruxelles,Apartment,No,3,Not installed,,,,,,,,Apartment,299000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20295087,1000 Bruxelles,Apartment,No,3,Not installed,,,,,,,,Apartment,325000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20295050,1000 Bruxelles,Apartment,No,1,Installed,,,5,,,,,Apartment,415000,2,,Good,
https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles/1000/20295054,1000 Bruxelles,Duplex,No,2,Installed,,,16,,,,,Duplex,425000,2,,Good,
https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles/1000/20295045,1000 Bruxelles,Duplex,No,2,Installed,,,12,,,,,Duplex,495000,2,,Good,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/deinze/9800/20311151,9800 Deinze,LIV - De Molens - fase II,,,,,,,,,,,LIV - De Molens - fase II,From245000To560000,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-michiels/8200/20302599,8200 Sint-Michiels,Apartment,,1,Semi equipped,,,,,,Yes,,Apartment,135000,,,To be done up,
https://www.immoweb.be/en/classified/apartment/for-sale/zottegem/9620/20302664,9620 Zottegem,Apartment,No,2,,,,,,,,,Apartment,169000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20305154,1000 BRUSSEL,Apartment,Yes,1,Installed,,,2,,,,,Apartment,239000,3,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/20305666,2660 HOBOKEN,Apartment,,2,Installed,,,16,,,,,Apartment,339000,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/zottegem/9620/20301029,9620 Zottegem,Apartment,No,2,,,,7,,,,,Apartment,339000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/20305566,2640 MORTSEL,Apartment,,2,Installed,,,6,,,,,Apartment,369000,,,Just renovated,35
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20302610,9000 Gent,Apartment,No,2,,,,60,,,,,Apartment,399000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20304789,1050 Ixelles,Apartment,No,3,Installed,,,6,,,,,Apartment,645000,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20302344,9000 Gent,Apartment,,2,,,,,,,Yes,,Apartment,895000,,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20313932,2018 Antwerpen,Apartment,,2,Hyper equipped,,,20,,,,,Apartment,379000,,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/neder-over-heembeek/1120/20276560,1120 Neder-Over-Heembeek,Apartment,No,2,Hyper equipped,,,18,,,,,Apartment,269000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/20309860,2800 MECHELEN,Apartment,,3,Installed,,,,,,Yes,,Apartment,299000,2,,To be done up,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1040/20300825,1040 Bruxelles,Apartment,Yes,1,Hyper equipped,,,,,,Yes,,Apartment,350000,,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/20316112,1060 Saint-Gilles,Apartment,No,3,Not installed,,,,,,,,Apartment,275000,2,,To renovate,
https://www.immoweb.be/en/classified/duplex/for-sale/evere/1140/20316856,1140 Evere,Duplex,No,2,Not installed,,,,,,,,Duplex,285000,3,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/gentbrugge/9050/20316643,9050 Gentbrugge,Apartment,No,3,,,,75,,,,,Apartment,289000,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/merelbeke/9820/20316694,9820 Merelbeke,Apartment,No,3,,,,75,,,,,Apartment,289000,,,,
https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles/1000/20316120,1000 Bruxelles,Duplex,,3,Not installed,,,,,,,,Duplex,299000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/gentbrugge/9050/20316626,9050 Gentbrugge,Apartment,No,4,,,,16,,,,,Apartment,398000,,,,
https://www.immoweb.be/en/classified/loft/for-sale/avelgem/8580/20316545,8580 AVELGEM,Loft,,2,Hyper equipped,,,,,,Yes,,Loft,650000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/vilvoorde/1800/20305738,1800 Vilvoorde,Apartment,,2,Installed,,,18,,,,,Apartment,295000,,,Good,
