URL,Garden Area,Garden,Price,Type of property,Subtype of property,Open fire,State of the building,Surface of the land,Locality,Fully equipped kitchen,Number of facades,Terrace,Living Area,Swimming pool,Furnished,Number of rooms,Surface area of the plot of land,Terrace Area
https://www.immoweb.be/en/classified/flat-studio/for-sale/leuven/3000/20234855,,,189000,Flat studio,Flat studio,,To be done up,,3000 LEUVEN,,2,,,,,1,,
https://www.immoweb.be/en/classified/apartment/for-sale/laeken/1020/20022496,,,199000,Apartment,Apartment,,To be done up,,1020 Laeken,Semi equipped,,,,,No,2,,24
https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/20193222,,,199000,Apartment,Apartment,,To renovate,,1081 KOEKELBERG,Installed,2,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/10249177,,,212000,Apartment,Apartment,,Good,,2100 DEURNE,Semi equipped,2,,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20204518,,,215000,Apartment,Apartment,,Good,,1080 Molenbeek-Saint-Jean,Installed,2,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/20245687,,,219000,Apartment,Apartment,,Good,,1081 KOEKELBERG,Not installed,2,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4020/20075189,,,219000,Apartment,Apartment,,As new,,4020 Liège,Installed,2,,,,No,2,,8
https://www.immoweb.be/en/classified/apartment/for-sale/bertrix/6880/20054582,,,219000,Apartment,Apartment,,As new,,6880 Bertrix,Semi equipped,,,,,No,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20031057,,,219500,Apartment,Apartment,,As new,,1080 MOLENBEEK-SAINT-JEAN,Hyper equipped,2,,,,,1,,5
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20031058,,,219500,Apartment,Apartment,,As new,,1080 MOLENBEEK-SAINT-JEAN,Hyper equipped,2,,,,,1,,5
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20031056,,,219500,Apartment,Apartment,,As new,,1080 MOLENBEEK-SAINT-JEAN,Hyper equipped,2,,,,,1,,5
https://www.immoweb.be/en/classified/apartment/for-sale/seraing/4100/20056170,,,219900,Apartment,Apartment,,As new,,4100 Seraing,Installed,2,,,,No,2,,10
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20200807,,,220000,Apartment,Apartment,,Just renovated,,1050 IXELLES,,,,,,,1,,8
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20241695,,,220000,Apartment,Apartment,,Good,,8370 BLANKENBERGE,Installed,,,,,Yes,1,,28
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/11458900,,,222500,Apartment,Apartment,,As new,,1080 MOLENBEEK-SAINT-JEAN,Hyper equipped,2,,,,,1,,5
https://www.immoweb.be/en/classified/flat-studio/for-sale/bruxelles/1000/20033037,,,225000,Flat studio,Flat studio,,Good,,1000 Bruxelles,Installed,2,,,,No,,,
https://www.immoweb.be/en/classified/apartment/for-sale/braine-lalleud/1420/20148790,,,225000,Apartment,Apartment,,Good,,1420 Braine-l'Alleud,Installed,3,,,,No,1,,
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/20243841,,,225000,Apartment,Apartment,,,,8620 Nieuwpoort,Installed,,Yes,,,No,1,,
https://www.immoweb.be/en/classified/apartment/for-sale/izegem/8870/11461967,,,225000,Apartment,Apartment,,Good,,8870 Izegem,,,,,,,1,,10
https://www.immoweb.be/en/classified/apartment/for-sale/bertrix/6880/20005534,,,227900,Apartment,Apartment,,As new,,6880 Bertrix,Hyper equipped,,,,,No,2,,32
https://www.immoweb.be/en/classified/apartment/for-sale/deerlijk/8540/20223082,,,,,,,,,,,,,,,,,,
