Locality,Type of Property,Price,Number of Rooms,Living Area,Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the Land,Surface Area of the Plot,Number of Facades,Swimming Pool,State of the Building
2610 WILRIJK,House,,,,0,0,0,0,,0,,,,,0,
2018 ANTWERPEN,Mansion,,,,0,0,0,0,,0,,,,,0,
9940 EVERGEM,House,,,,0,0,0,0,,0,,,,,0,
6240 FARCIENNES,House,,,,0,0,0,0,,0,,,,,0,
3090 Overijse,House,,,,0,0,0,0,,0,,,,,0,
1180 Uccle,Apartment block,,,,0,0,0,0,,0,,,,,0,
4100 Seraing,House,,,,0,0,0,0,,0,,,,,0,
2800 MECHELEN,House,,,,0,0,0,0,,0,,,,,0,
1970 Wezembeek-Oppem,House,,,,0,0,0,0,,0,,,,,0,
1190 Forest,Mixed-use building,,,,0,0,0,0,,0,,,,,0,
9968 Oosteeklo,House,,,,0,0,0,0,,0,,,,,0,
4100 Seraing,House,,,,0,0,0,0,,0,,,,,0,
9320 Erembodegem,House,,,,0,0,0,0,,0,,,,,0,
2060 Antwerpen,House,,,,0,0,0,0,,0,,,,,0,
9000 Gent,House,,,,0,0,0,0,,0,,,,,0,
2170 Antwerpen,House,,,,0,0,0,0,,0,,,,,0,
9000 Gent,House,,,,0,0,0,0,,0,,,,,0,
9040 Sint-Amandsberg,House,,,,0,0,0,0,,0,,,,,0,
9070 Destelbergen,House,,,,0,0,0,0,,0,,,,,0,
8530 HARELBEKE,ARENDSHOF_ FINAERT nieuwbouwwoningen FASE 2,,,,0,0,0,0,,0,,,,,0,
9600 RONSE,WOONERF HOEVE Pessemier,,,,0,0,0,0,,0,,,,,0,
3550 Heusden-Zolder,2 HOB moderne BEN woningen,,,,0,0,0,0,,0,,,,,0,
9520 Sint-Lievens-Houtem,"Paepevelden 1 - 16, 9520",,,,0,0,0,0,,0,,,,,0,
9030 Gent Mariakerke,Lieve Gardens,,,,0,0,0,0,,0,,,,,0,
9040 Gent Sint-Amandsberg,Sint-Bernadettestraat 16 - 9040 Sint-Amandsberg,,,,0,0,0,0,,0,,,,,0,
2230 HERSELT,House,,,,0,0,0,0,,0,,,,,0,
6730 Tintigny,Country house,,,,0,0,0,0,,0,,,,,0,
8500 Kortrijk,House,,,,0,0,0,0,,0,,,,,0,
4700 Eupen,Villa,,,,0,0,0,0,,0,,,,,0,
1730 Asse,House,,,,0,0,0,0,,0,,,,,0,
9300 Aalst (9300),House,,,,0,0,0,0,,0,,,,,0,
9310 Meldert (9310),House,,,,0,0,0,0,,0,,,,,0,
1060 Saint-Gilles,Apartment block,,,,0,0,0,0,,0,,,,,0,
9600 Ronse,Mansion,,,,0,0,0,0,,0,,,,,0,
9990 Maldegem,House,,,,0,0,0,0,,0,,,,,0,
9990 Maldegem,House,,,,0,0,0,0,,0,,,,,0,
6890 REDU,House,,,,0,0,0,0,,0,,,,,0,
9830 SINT-MARTENS-LATEM,Villa,,,,0,0,0,0,,0,,,,,0,
1160 Auderghem,House,,,,0,0,0,0,,0,,,,,0,
1570 GALMAARDEN,Mixed-use building,,,,0,0,0,0,,0,,,,,0,
1570 GALMAARDEN,House,,,,0,0,0,0,,0,,,,,0,
9620 ZOTTEGEM,House,,,,0,0,0,0,,0,,,,,0,
