URL,Open fire,Subtype of property,Fully equipped kitchen,Surface of the land,Surface area of the plot of land,Furnished,Terrace Area,Price,Number of facades,Number of rooms,Garden,State of the building,Swimming pool,Type of property,Terrace,Locality,Garden Area,Living Area
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20202518,,Apartment,,,,,6,230000,,1.0,,To renovate,,Apartment,,1050 IXELLES,,
https://www.immoweb.be/en/classified/apartment/for-sale/aarschot/3200/20194055,,Apartment,Installed,,,,,230000,,1.0,,Good,,Apartment,,3200 AARSCHOT,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20221425,,Apartment,Installed,,,,,231000,2.0,2.0,,Just renovated,,Apartment,,2060 ANTWERPEN,,
https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/20242751,,Apartment,,,,No,9,235000,,2.0,,Good,,Apartment,,8560 Wevelgem,,
https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/20242746,,Apartment,,,,No,9,235000,,2.0,,Good,,Apartment,,8560 Wevelgem,,
https://www.immoweb.be/en/classified/apartment/for-sale/de-haan/8420/20191510,,Apartment,Installed,,,No,,239000,,2.0,,Good,,Apartment,Yes,8420 De Haan,,
https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/20242748,,Apartment,,,,No,9,239000,,2.0,,Good,,Apartment,,8560 Wevelgem,,
https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/20242747,,Apartment,,,,No,9,239000,,2.0,,Good,,Apartment,,8560 Wevelgem,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/8980/20156963,,Apartment,,,,,8,245000,,1.0,,To be done up,,Apartment,,8980 GENT,,
https://www.immoweb.be/en/classified/apartment/for-sale/de-haan/8420/20059260,,Apartment,Installed,,,Yes,,248000,,2.0,,Just renovated,,Apartment,Yes,8420 De Haan,,
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20229627,,Apartment,Installed,,,,,249000,2.0,2.0,,Just renovated,,Apartment,,1030 Schaerbeek,35,
https://www.immoweb.be/en/classified/apartment/for-sale/saint-ghislain/7330/11362609,,Apartment,Installed,,,,5,249000,3.0,2.0,,Good,,Apartment,,7330 SAINT-GHISLAIN,,
https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/20075992,,Apartment,,,,No,,249000,,3.0,,Just renovated,,Apartment,Yes,8670 Koksijde,,
https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/11362878,,Apartment,,,,No,,254900,,3.0,,Good,,Apartment,Yes,8800 Roeselare,,
https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/20242749,,Apartment,,,,No,9,255000,,2.0,,Good,,Apartment,,8560 Wevelgem,,
https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/11105773,,Apartment,,,,No,9,259000,2.0,3.0,,Good,,Apartment,,9700 Oudenaarde,,
https://www.immoweb.be/en/classified/apartment/for-sale/zeebrugge/8380/20133198,,Apartment,Installed,,,No,,269000,2.0,2.0,,Good,,Apartment,Yes,8380 Zeebrugge,,
https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/11032761,,Apartment,,,,No,9,269000,4.0,1.0,,Good,,Apartment,,9700 Oudenaarde,,
https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/10715623,,Apartment,,,,No,9,269000,4.0,1.0,,Good,,Apartment,,9700 Oudenaarde,,
https://www.immoweb.be/en/classified/ground-floor/for-sale/wilrijk/2610/11488899,,Ground floor,USA installed,,,,10,274000,,2.0,,,,Ground floor,,2610 WILRIJK,50,
https://www.immoweb.be/en/classified/apartment/for-sale/grace-hollogne/4460/20235140,,Apartment,Semi equipped,,,,10,275000,4.0,2.0,,Just renovated,,Apartment,,4460 GRÂCE-HOLLOGNE,,
https://www.immoweb.be/en/classified/service-flat/for-sale/oostduinkerke/8670/20024243,,Service flat,,,,No,,275000,,1.0,,Good,,Service flat,Yes,8670 Oostduinkerke,,
https://www.immoweb.be/en/classified/apartment/for-sale/haaltert/9450/20153987,,Apartment,,,,,,275000,,2.0,,Good,,Apartment,Yes,9450 Haaltert,,
https://www.immoweb.be/en/classified/apartment/for-sale/de-haan/8420/20214640,,Apartment,Installed,,,No,,279000,,3.0,,To be done up,,Apartment,Yes,8420 De Haan,,
https://www.immoweb.be/en/classified/apartment/for-sale/hooglede/8830/20149592,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20004254,,Apartment,Not installed,,,No,9,290000,2.0,1.0,,To renovate,,Apartment,,1050 Ixelles,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10762128,,Apartment,Installed,,,No,,290000,,2.0,,Good,,Apartment,,9000 Gent,,
https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/20218085,,Apartment,Hyper equipped,,,,8,299000,,2.0,,Just renovated,,Apartment,,2830 Willebroek,,
https://www.immoweb.be/en/classified/apartment/for-sale/zeebrugge/8380/20242800,,Apartment,,,,,,299000,,3.0,,Good,,Apartment,Yes,8380 Zeebrugge,,
https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/11480891,,Apartment,,,,,,305000,,2.0,,Good,,Apartment,Yes,9800 Deinze,,
https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/11078613,,Apartment,Not installed,,,,21,310000,2.0,2.0,,Good,,Apartment,,6700 ARLON,,
https://www.immoweb.be/en/classified/apartment/for-sale/borsbeek/2150/20201608,,Apartment,,,,,,319000,,3.0,,Just renovated,,Apartment,,2150 Borsbeek,,
https://www.immoweb.be/en/classified/apartment/for-sale/oppuurs/2890/11417282,,Apartment,Hyper equipped,,,,17,319000,2.0,2.0,,,,Apartment,,2890 OPPUURS,70,
https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/11034290,,Apartment,Installed,,,,,,2.0,2.0,,Good,,Apartment,Yes,6700 ARLON,,
https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/20046857,,Apartment,,,,,18,339000,,2.0,,,,Apartment,,2830 Willebroek,17,
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20227280,,Apartment,Semi equipped,,,,5,345000,,3.0,,Just renovated,,Apartment,,2600 BERCHEM,,
https://www.immoweb.be/en/classified/loft/for-sale/liege/4020/20114008,,Loft,Installed,,,No,15,365000,2.0,2.0,,Just renovated,,Loft,,4020 Liège,42,
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20243438,,Apartment,Installed,,,,20,369000,,2.0,,Just renovated,,Apartment,,2600 BERCHEM,,
https://www.immoweb.be/en/classified/apartment/for-sale/ottignies/1340/11436258,,Apartment,Hyper equipped,,,,9,370000,,2.0,,,,Apartment,,1340 OTTIGNIES,,
https://www.immoweb.be/en/classified/apartment/for-sale/ninove/9400/20146269,,Apartment,,,,,,379000,,4.0,,Good,,Apartment,Yes,9400 Ninove,,
https://www.immoweb.be/en/classified/apartment/for-sale/de-haan/8420/20130395,,Apartment,,,,Yes,,384000,,2.0,,To be done up,,Apartment,Yes,8420 De Haan,,
https://www.immoweb.be/en/classified/apartment/for-sale/ledeberg/9050/20127353,,Apartment,,,,,,385000,,2.0,,Good,,Apartment,Yes,9050 Ledeberg,,
https://www.immoweb.be/en/classified/duplex/for-sale/jette/1090/20025406,,Duplex,Installed,,,No,12,389000,3.0,3.0,,Good,,Duplex,,1090 Jette,,
https://www.immoweb.be/en/classified/loft/for-sale/jette/1090/9437761,,Loft,Hyper equipped,,,No,11,395000,2.0,4.0,,Good,,Loft,,1090 Jette,200,
https://www.immoweb.be/en/classified/loft/for-sale/jette/1090/9332176,,Loft,Hyper equipped,,,No,11,395000,2.0,4.0,,Good,,Loft,,1090 Jette,200,
https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/20139547,,Apartment,Installed,,,,15,395000,,2.0,,Good,,Apartment,,6700 ARLON,,
https://www.immoweb.be/en/classified/apartment/for-sale/ottignies-louvain-la-neuve/1348/20064802,,Apartment,Hyper equipped,,,,15,405000,,2.0,,As new,,Apartment,,1348 OTTIGNIES-LOUVAIN-LA-NEUVE,,
https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/20225809,,Apartment,Installed,,,,5,405000,2.0,3.0,,Just renovated,,Apartment,,2610 WILRIJK,,
https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/20040952,,Apartment,Installed,,,,,410000,,2.0,,Good,,Apartment,Yes,8430 MIDDELKERKE,,
https://www.immoweb.be/en/classified/duplex/for-sale/eeklo/9900/20018618,,Duplex,,,,,,415000,,4.0,,Good,,Duplex,Yes,9900 Eeklo,,
